audio_path,subset,prompt,score,pred
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/laughs_babble_00.wav,preset_speaker9,laughs_babble,0.4166077673435211,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/laughs_babble_01.wav,preset_speaker9,laughs_babble,0.513983428478241,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/mama_dada_00.wav,preset_speaker9,mama_dada,0.09009979665279388,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/mama_dada_01.wav,preset_speaker9,mama_dada,0.4078112840652466,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/ooh_aah_00.wav,preset_speaker9,ooh_aah,0.5968356132507324,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/ooh_aah_01.wav,preset_speaker9,ooh_aah,0.9109506011009216,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/single_word_dog_00.wav,preset_speaker9,single_word_dog,0.20562335848808289,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/single_word_dog_01.wav,preset_speaker9,single_word_dog,0.26710838079452515,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/uhoh_00.wav,preset_speaker9,uhoh,0.6997765898704529,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/uhoh_01.wav,preset_speaker9,uhoh,0.5712181329727173,1
