child_id,timepoint,n_clips,n_positive,n_negative,n_fp,n_fn,accuracy,mean_chi_dur,mean_prob,mean_n_children,mean_n_adults,pct_interaction
C5U1P3X9F0,14_month,8,8,0,0,0,1.0,7.552500000000001,0.45129129799500345,1.0,0.125,0.625
C3A8Q4J6E5,14_month,1,1,0,0,0,1.0,8.139999999999999,0.5334301584073093,3.0,0.0,1.0
D4Y7P4G2V4,14_month,5,4,1,0,0,1.0,50.33199999999997,0.4527125513246018,1.8,0.4,1.0
D9N0U7M9X3,36_month,1,1,0,0,0,1.0,111.58,0.5268354450656677,1.0,0.0,1.0
M5F7G8S4F0,14_month,3,3,0,0,0,1.0,9.373333333333333,0.5260693371573412,1.0,0.0,1.0
L6F2P7K8P1,14_month,5,5,0,0,0,1.0,7.388,0.5142788021286115,1.0,0.2,0.6
L7Z6Q2U6Y6,36_month,2,2,0,0,0,1.0,16.650000000000002,0.4995415318846592,1.0,0.0,1.0
M2N1C8G1C8,14_month,1,1,0,0,0,1.0,3.440000000000001,0.478146324510698,2.0,0.0,1.0
L4K0P3T4Q8,14_month,2,2,0,0,0,1.0,11.849999999999994,0.4804573685864,3.0,0.0,1.0
L4M1H7J7G3,14_month,8,8,0,0,0,1.0,28.992500000000014,0.4193813273462521,1.375,0.0,0.875
L4M8P2T7S0,36_month,7,6,1,0,0,1.0,5.942857142857144,0.39152742190449924,1.2857142857142858,0.0,1.0
L5Q0Z1W8S2,14_month,1,1,0,0,0,1.0,2.7999999999999994,0.493299920583728,1.0,0.0,1.0
L0C6T6H2C6,14_month,3,3,0,0,0,1.0,10.793333333333331,0.487513038987548,1.6666666666666667,0.0,1.0
L3F0P2N3D1,14_month,1,1,0,0,0,1.0,5.76,0.3842725639686147,1.0,0.0,1.0
K6I1Q4G2V4,14_month,2,1,1,0,0,1.0,4.1499999999999995,0.1112175232792743,1.0,0.0,0.5
K6O1J5K7Z0,14_month,7,7,0,0,0,1.0,5.722857142857142,0.3669416092468781,1.0,0.14285714285714285,0.7142857142857143
G2N1M4K2S0,14_month,1,1,0,0,0,1.0,6.84,0.4196654587978451,1.0,0.0,0.0
G8Q8I6N0I3,14_month,2,2,0,0,0,1.0,4.56,0.3696135007045859,1.0,1.0,1.0
E7G3N4A1K5,36_month,2,2,0,0,0,1.0,3.93,0.27523098494558174,1.0,0.0,0.5
E7T7O3G7J5,14_month,3,2,1,0,0,1.0,9.266666666666667,0.33471378335730556,1.0,0.3333333333333333,1.0
B8I6G9P2G8,36_month,1,0,1,0,0,1.0,0.6799999999999999,0.0763628147097553,1.0,1.0,1.0
B2R3Q8L2Y3,14_month,4,4,0,0,0,1.0,41.87999999999998,0.46225788227690445,2.0,0.25,0.75
A6Z2B3J2A9,14_month,2,2,0,0,0,1.0,67.56,0.4804112174661127,1.0,0.0,1.0
B1L0B3F6F1,14_month,3,3,0,0,0,1.0,5.973333333333334,0.42236676764912745,1.0,0.6666666666666666,1.0
A3G3T7I1A5,14_month,4,4,0,0,0,1.0,24.17,0.46387914229052574,1.0,0.75,1.0
A2M5H0V6E3,14_month,3,3,0,0,0,1.0,7.586666666666667,0.48417839503445825,1.3333333333333333,0.0,0.6666666666666666
R2C7W8X7N9,14_month,2,0,2,0,0,1.0,1.0,0.04517148409906995,2.5,2.0,0.5
R4O0P4P3J4,14_month,3,3,0,0,0,1.0,5.740000000000001,0.4667382971725442,1.3333333333333333,0.3333333333333333,1.0
N2Z6J3E5Q5,14_month,6,6,0,0,0,1.0,7.073333333333333,0.4482247246438071,1.3333333333333333,0.3333333333333333,0.8333333333333334
S4C2W1M7Q0,36_month,4,3,1,0,0,1.0,8.36,0.40585595082877673,2.25,0.25,0.75
O7X6W5O8E0,14_month,3,3,0,0,0,1.0,63.586666666666666,0.4747484264147104,1.6666666666666667,0.3333333333333333,1.0
P3A4R4S2O3,14_month,2,2,0,0,0,1.0,5.79,0.4558814232463676,1.0,0.0,1.0
N2H7T0A7U5,36_month,1,0,1,0,0,1.0,0.4799999999999969,0.0987838051786739,1.0,0.0,0.0
N6O9P4J0Q2,14_month,1,1,0,0,0,1.0,33.15999999999998,0.4988578963018424,1.0,0.0,1.0
O2U2C6W2S9,14_month,3,3,0,0,0,1.0,21.42,0.5758017613016976,2.0,0.6666666666666666,1.0
O5Q7I1O6N2,14_month,4,4,0,0,0,1.0,14.515,0.5149201592744115,1.5,0.25,1.0
W3I4D2X4Z4,14_month,5,5,0,0,0,1.0,8.4,0.4309606869514294,1.0,0.2,1.0
W2E0Z9B7Z8,36_month,1,1,0,0,0,1.0,41.14000000000004,0.4251694855523724,1.0,0.0,1.0
V9X2Q7S1E1,14_month,1,1,0,0,0,1.0,44.08000000000001,0.6217278805365593,1.0,0.0,0.0
U6O5F2B7T5,14_month,3,3,0,0,0,1.0,46.81333333333334,0.44439516313543437,1.0,0.0,1.0
T1G8F8W8Y8,14_month,4,4,0,0,0,1.0,6.574999999999999,0.4725966422246685,1.0,0.0,0.75
S7Y0I2P0S8,14_month,5,5,0,0,0,1.0,14.212,0.385784098820301,1.0,0.0,0.8
W4O4B5W7K0,36_month,2,2,0,0,0,1.0,33.929999999999986,0.5589808139735463,1.0,0.0,1.0
W3O7N1N8U2,14_month,2,2,0,0,0,1.0,18.510000000000005,0.40669967607525703,2.0,0.0,1.0
X2N4R2N5V8,36_month,2,2,0,0,0,1.0,5.58,0.4382070726494225,1.0,0.5,1.0
X1U1P0D1X3,14_month,3,3,0,0,0,1.0,15.886666666666665,0.5538188874374862,1.0,0.0,0.3333333333333333
W9S0D6Q7Z5,14_month,1,1,0,0,0,1.0,4.5,0.4842574899992369,1.0,0.0,1.0
Y6Z4H0C5U2,14_month,2,2,0,0,0,1.0,4.32,0.47391437506798534,1.0,0.5,1.0
Z3H6O7C3O9,36_month,1,0,1,0,0,1.0,0.0,0.0,2.0,0.0,0.0
