system_name,split,n_clips,pos_rate,threshold_source,ba_tuned_threshold,f1_tuned_threshold,f1,f1_macro,f1_weighted,balanced_accuracy,precision,recall,auroc,auprc,f1_at_f1_tuned_threshold,balanced_accuracy_at_f1_tuned_threshold,trivial_f1,trivial_balanced_accuracy,predictions_path,status,regenerated_at
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.05,0.8977,0.8013,0.8514,0.8162,0.9187,0.8776,0.9065,0.9686,0.896,0.7586,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f0,seen_child_test,795,0.7346,val-tuned-by-balanced-accuracy,0.95,0.9349999999999999,0.9033,0.7922,0.8443,0.7703,0.8664,0.9435,0.8929,0.9532,0.9043,0.7697,0.847,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f0/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f1,seen_child_test,725,0.731,val-tuned-by-balanced-accuracy,0.5,0.5,0.8936,0.7857,0.8355,0.7723,0.8696,0.9189,0.804,0.8833,0.8936,0.7723,0.8446,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f1/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f2,seen_child_test,663,0.7602,val-tuned-by-balanced-accuracy,0.95,0.7449999999999999,0.9027,0.7836,0.8456,0.7716,0.8855,0.9206,0.8783,0.9559,0.9008,0.7279,0.8638,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f2/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.06,0.9126,0.8138,0.8651,0.8088,0.9059,0.9194,0.8919,0.9533,0.9146,0.783,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f0,seen_child_test,795,0.7346,val-tuned-by-balanced-accuracy,0.15,0.065,0.9003,0.8003,0.8472,0.7891,0.8818,0.9195,0.8488,0.9112,0.9004,0.7876,0.847,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f0/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1,seen_child_test,725,0.731,val-tuned-by-balanced-accuracy,0.25,0.15999999999999998,0.904,0.8205,0.8591,0.8195,0.9023,0.9057,0.9001,0.9476,0.9033,0.8153,0.8446,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f2,seen_child_test,663,0.7602,val-tuned-by-balanced-accuracy,0.9,0.055,0.905,0.7935,0.8515,0.7854,0.8936,0.9167,0.8332,0.9128,0.9075,0.7691,0.8638,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f2/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/wavlm_attn,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.4049999999999999,0.8198,0.6883,0.7566,0.7185,0.8801,0.7672,0.7917,0.9127,0.8762,0.6447,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_attn/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/wavlm_attn_lw,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.9,0.4499999999999999,0.8289,0.692,0.7631,0.7148,0.8742,0.7881,0.8032,0.9256,0.8686,0.666,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_attn_lw/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/wavlm_mean,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.9,0.5299999999999999,0.8006,0.6682,0.737,0.7036,0.8759,0.7373,0.778,0.9126,0.8643,0.6119,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_mean/test_predictions.csv,OK,2026-05-13T03:26:18+00:00
baseline_results_seen_child/wavlm_stats_lw,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.85,0.4049999999999999,0.8403,0.7029,0.7742,0.7205,0.8742,0.809,0.7839,0.9068,0.8757,0.6015,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_stats_lw/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/whisper_attn,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.75,0.4799999999999999,0.8429,0.7316,0.7894,0.7699,0.91,0.7851,0.8642,0.9527,0.8915,0.7333,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn/test_predictions.csv,OK,2026-05-13T03:26:18+00:00
baseline_results_seen_child/whisper_attn_aug,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.75,0.42999999999999994,0.8443,0.7349,0.7917,0.7746,0.9132,0.7851,0.859,0.9499,0.8776,0.7134,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_aug/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/whisper_attn_aug_ptt,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.85,0.43499999999999994,0.8239,0.7227,0.7752,0.7805,0.9288,0.7403,0.8559,0.9512,0.8797,0.6941,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_aug_ptt/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/whisper_attn_lw,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.5,0.3549999999999999,0.876,0.7611,0.8208,0.7759,0.8994,0.8537,0.8646,0.9456,0.8857,0.7209,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_lw/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/whisper_attn_ptt,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.8,0.5,0.8462,0.737,0.7937,0.7761,0.9135,0.7881,0.864,0.9531,0.8876,0.7191,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_ptt/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/whisper_attn_unfreeze2,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.55,0.5049999999999999,0.8812,0.727,0.8071,0.7132,0.8563,0.9075,0.8598,0.9457,0.8812,0.7132,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_unfreeze2/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/whisper_mean,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.6,0.5499999999999999,0.8723,0.7487,0.8129,0.7585,0.8885,0.8567,0.8604,0.947,0.8735,0.7489,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_mean/test_predictions.csv,OK,2026-05-13T03:26:18+00:00
baseline_results_seen_child/whisper_stats_lw,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.55,0.5099999999999999,0.8502,0.7102,0.7829,0.7215,0.8715,0.8299,0.8102,0.9283,0.8705,0.6963,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_stats_lw/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.85,0.44999999999999996,0.7611,0.6441,0.7048,0.7008,0.8884,0.6657,0.7696,0.9,0.8743,0.6464,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_2shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.85,0.44999999999999996,0.7619,0.6429,0.7047,0.6975,0.8854,0.6687,0.7694,0.9003,0.8727,0.6449,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_2shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_5shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.85,0.44999999999999996,0.7611,0.6441,0.7048,0.7008,0.8884,0.6657,0.7696,0.9,0.8743,0.6464,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_5shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_cross_child,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.85,0.35,0.789,0.6904,0.7405,0.7548,0.9214,0.6898,0.8203,0.9285,0.8669,0.6057,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_cross_child/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_synth_2shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.44999999999999996,0.8262,0.6994,0.7652,0.7309,0.887,0.7731,0.779,0.8994,0.8745,0.6288,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_synth_2shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_2shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.35,0.2,0.8219,0.651,0.7397,0.6577,0.8385,0.806,0.7096,0.8636,0.8598,0.561,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_2shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_5shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.35,0.2,0.8219,0.651,0.7397,0.6577,0.8385,0.806,0.7096,0.8636,0.8598,0.561,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_5shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.85,0.8465,0.6792,0.7661,0.6786,0.8452,0.8478,0.7251,0.8528,0.8709,0.6146,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_2shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.85,0.8465,0.6792,0.7661,0.6786,0.8452,0.8478,0.7251,0.8528,0.8709,0.6146,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_2shot/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_5shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.85,0.8465,0.6792,0.7661,0.6786,0.8452,0.8478,0.7251,0.8528,0.8709,0.6146,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_5shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_cross_child,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.6,0.8396,0.6739,0.7581,0.6739,0.8396,0.8396,0.7791,0.9095,0.8693,0.5589,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_cross_child/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.75,0.7849,0.6525,0.7213,0.6916,0.8723,0.7134,0.7127,0.8611,0.8633,0.5608,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot_v1,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.75,0.7849,0.6525,0.7213,0.6916,0.8723,0.7134,0.7127,0.8611,0.8633,0.5608,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot_v1/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,all_children_coverage,3314,0.7426,val-tuned-by-balanced-accuracy,0.9,0.75,0.8322,0.7096,0.769,0.7278,0.8708,0.7968,0.7991,0.9044,0.8736,0.6688,0.8523,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking/test_all_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,seen_child_test,635,0.7575,val-tuned-by-balanced-accuracy,0.9,0.75,0.8155,0.679,0.7493,0.705,0.8703,0.7672,0.7857,0.9076,0.8702,0.6454,0.862,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/baseline_results/fused_attn,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.9,0.595,0.8666,0.6772,0.7734,0.6608,0.8257,0.9118,0.8306,0.9314,0.8697,0.6483,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/fused_attn_lw,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.71,0.8691,0.7413,0.8062,0.7461,0.8774,0.861,0.8569,0.9486,0.8828,0.67,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn_lw/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/fused_attn_unfreeze2,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.5,0.5,0.8965,0.7757,0.8371,0.7646,0.8792,0.9144,0.7994,0.8916,0.8965,0.7646,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn_unfreeze2/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/wavlm_attn,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.7949999999999999,0.8575,0.7229,0.7913,0.7298,0.8705,0.8449,0.8079,0.9244,0.8744,0.662,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_attn/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/wavlm_attn_lw,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.4549999999999999,0.8702,0.719,0.7958,0.7102,0.8535,0.8877,0.8175,0.9271,0.8714,0.607,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_attn_lw/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/wavlm_mean,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.9,0.4699999999999999,0.8099,0.6888,0.7503,0.7255,0.8857,0.746,0.7951,0.9226,0.8699,0.5933,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_mean/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/wavlm_stats_lw,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.08,0.7982,0.6853,0.7427,0.7326,0.8967,0.7193,0.7966,0.9146,0.8628,0.5247,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_stats_lw/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_attn,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.85,0.5399999999999999,0.828,0.7212,0.7754,0.7649,0.9103,0.7594,0.8498,0.9473,0.8817,0.7237,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_attn/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_attn_aug,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.9,0.625,0.8439,0.742,0.7938,0.7838,0.9182,0.7807,0.8518,0.9484,0.8684,0.7117,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_attn_aug/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_attn_aug_ptt,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.4549999999999999,0.8282,0.726,0.7779,0.7745,0.9186,0.754,0.8478,0.9456,0.8782,0.7114,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_attn_aug_ptt/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_attn_lw,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.75,0.73,0.7779,0.6135,0.6971,0.6299,0.8258,0.7353,0.6448,0.8151,0.8498,0.5801,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_attn_lw/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_attn_ptt,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.7,0.4699999999999999,0.8547,0.739,0.7978,0.7615,0.8947,0.8182,0.8558,0.9507,0.8737,0.7225,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_attn_ptt/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_attn_unfreeze2,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.95,0.075,0.8761,0.727,0.8028,0.7156,0.855,0.8984,0.8285,0.922,0.8775,0.6619,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_attn_unfreeze2/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_mean,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.75,0.37499999999999994,0.8412,0.7312,0.7871,0.766,0.9046,0.7861,0.8567,0.9509,0.8837,0.7195,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_mean/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/baseline_results/whisper_stats_lw,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.8,0.5,0.8035,0.6907,0.748,0.7366,0.8977,0.7273,0.8183,0.9361,0.8627,0.6017,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/whisper_stats_lw/test_predictions.csv,OK,2026-05-13T03:26:12+00:00
baselines/clap_baseline_runs/clap_htsat_fused,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.5,0.45,0.821,0.6626,0.7449,0.6753,0.8498,0.794,0.7231,0.865,0.8634,0.5,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/clap_baseline_runs/clap_htsat_fused/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/clap_baseline_runs/clap_htsat_fused_cross_child,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.5,0.45,0.7608,0.6019,0.6826,0.6234,0.825,0.7059,0.653,0.8341,0.8608,0.5041,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/clap_baseline_runs/clap_htsat_fused_cross_child/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/ecapa_adapter_baseline_runs,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.1,0.05,0.6961,0.6047,0.6522,0.6925,0.9087,0.5642,0.718,0.8777,0.7774,0.6936,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/ecapa_adapter_baseline_runs/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/panns_baseline_runs/cnn14,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.7,0.05,0.841,0.6924,0.7696,0.7029,0.8621,0.8209,0.7646,0.8904,0.8791,0.6829,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/panns_baseline_runs/cnn14/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
baselines/panns_baseline_runs/cnn14_cross_child,seen_child_test,496,0.754,val-tuned-by-balanced-accuracy,0.7,0.4,0.9223,0.8432,0.8834,0.8451,0.9247,0.9198,0.8872,0.9323,0.934,0.8503,0.8598,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/panns_baseline_runs/cnn14_cross_child/test_predictions.csv,OK,2026-05-13T03:26:13+00:00
