sys_a,sys_b,auroc_diff,cohens_d_pos,cohens_d_neg,cohens_d_combined
wavlm_mil,wavlm_pseudo_frame,-0.064,-1.097,0.989,0.246
wavlm_mil,audio_llm_qwen25_omni,0.0009,-0.156,-0.162,-0.309
babar_enrollment,vtc_enrollment,0.0151,-0.357,0.465,0.173
babar_enrollment,vtc_kchi_enrollment,0.0,0.0,-0.0,0.0
babar_enrollment,vbx_enrollment,0.1516,-0.315,0.868,0.621
babar_enrollment,pyannote_enrollment,0.1577,0.242,0.611,0.849
babar_enrollment,usc_sail_enrollment,0.1764,-0.432,0.956,0.711
babar_enrollment,sortformer_enrollment,0.1417,0.368,0.488,0.851
babar_enrollment,eend_eda_enrollment,0.3085,-0.047,1.07,1.021
babar_enrollment,best_audio_mil_ensemble,-0.0528,-2.0,2.66,0.542
babar_enrollment,metadata_stacker,-0.0781,-3.908,1.584,-1.114
babar_enrollment,wavlm_pseudo_frame,-0.0118,-3.073,3.116,0.607
babar_enrollment,audio_llm_qwen25_omni,0.0531,-1.99,1.634,0.039
vtc_enrollment,vtc_kchi_enrollment,-0.0151,0.357,-0.465,-0.173
vtc_enrollment,vbx_enrollment,0.1365,-0.122,0.605,0.562
vtc_enrollment,pyannote_enrollment,0.1426,0.546,0.267,0.789
vtc_enrollment,usc_sail_enrollment,0.1613,-0.251,0.737,0.693
vtc_enrollment,sortformer_enrollment,0.1266,0.676,0.128,0.737
vtc_enrollment,eend_eda_enrollment,0.2934,0.146,0.72,0.915
vtc_enrollment,best_audio_mil_ensemble,-0.0679,-1.879,1.991,0.353
vtc_enrollment,metadata_stacker,-0.0932,-3.702,1.341,-1.338
vtc_enrollment,wavlm_pseudo_frame,-0.0269,-3.167,2.828,0.516
vtc_enrollment,audio_llm_qwen25_omni,0.038,-2.117,1.593,-0.056
vtc_kchi_enrollment,vbx_enrollment,0.1516,-0.315,0.868,0.621
vtc_kchi_enrollment,pyannote_enrollment,0.1577,0.242,0.611,0.849
vtc_kchi_enrollment,usc_sail_enrollment,0.1764,-0.432,0.956,0.711
vtc_kchi_enrollment,sortformer_enrollment,0.1417,0.368,0.488,0.851
vtc_kchi_enrollment,eend_eda_enrollment,0.3085,-0.047,1.07,1.021
vtc_kchi_enrollment,best_audio_mil_ensemble,-0.0528,-2.0,2.66,0.542
vtc_kchi_enrollment,metadata_stacker,-0.0781,-3.908,1.584,-1.114
vtc_kchi_enrollment,wavlm_pseudo_frame,-0.0118,-3.073,3.116,0.607
vtc_kchi_enrollment,audio_llm_qwen25_omni,0.0531,-1.99,1.634,0.039
vbx_enrollment,pyannote_enrollment,0.0061,0.96,-0.786,0.272
vbx_enrollment,usc_sail_enrollment,0.0248,-0.081,0.112,0.07
vbx_enrollment,sortformer_enrollment,-0.0099,0.987,-0.588,0.216
vbx_enrollment,eend_eda_enrollment,0.1569,0.259,0.224,0.479
vbx_enrollment,best_audio_mil_ensemble,-0.2044,-1.052,0.435,-0.463
vbx_enrollment,metadata_stacker,-0.2297,-2.269,0.417,-1.421
vbx_enrollment,wavlm_pseudo_frame,-0.1634,-3.066,2.367,-0.085
vbx_enrollment,audio_llm_qwen25_omni,-0.0985,-1.989,0.92,-0.503
pyannote_enrollment,usc_sail_enrollment,0.0187,-0.894,0.48,-0.081
pyannote_enrollment,sortformer_enrollment,-0.016,0.247,-0.162,0.037
pyannote_enrollment,eend_eda_enrollment,0.1508,-0.299,0.625,0.372
pyannote_enrollment,best_audio_mil_ensemble,-0.2105,-2.069,1.117,-0.78
pyannote_enrollment,metadata_stacker,-0.2358,-2.856,0.778,-1.602
pyannote_enrollment,wavlm_pseudo_frame,-0.1695,-4.53,3.096,-0.29
pyannote_enrollment,audio_llm_qwen25_omni,-0.1046,-2.762,1.23,-0.649
usc_sail_enrollment,sortformer_enrollment,-0.0347,0.928,-0.549,0.097
usc_sail_enrollment,eend_eda_enrollment,0.1321,0.339,0.101,0.402
usc_sail_enrollment,best_audio_mil_ensemble,-0.2292,-1.16,0.248,-0.539
usc_sail_enrollment,metadata_stacker,-0.2545,-2.294,0.277,-1.406
usc_sail_enrollment,wavlm_pseudo_frame,-0.1882,-3.17,1.845,-0.15
usc_sail_enrollment,audio_llm_qwen25_omni,-0.1233,-1.92,0.824,-0.562
sortformer_enrollment,eend_eda_enrollment,0.1668,-0.416,0.677,0.326
sortformer_enrollment,best_audio_mil_ensemble,-0.1945,-1.956,1.157,-0.719
sortformer_enrollment,metadata_stacker,-0.2198,-2.871,0.795,-1.503
sortformer_enrollment,wavlm_pseudo_frame,-0.1535,-4.083,3.329,-0.308
sortformer_enrollment,audio_llm_qwen25_omni,-0.0886,-2.783,1.219,-0.627
eend_eda_enrollment,best_audio_mil_ensemble,-0.3613,-1.047,0.106,-0.852
eend_eda_enrollment,metadata_stacker,-0.3866,-1.884,0.151,-1.413
eend_eda_enrollment,wavlm_pseudo_frame,-0.3203,-2.584,1.563,-0.515
eend_eda_enrollment,audio_llm_qwen25_omni,-0.2554,-1.716,0.602,-0.749
best_audio_mil_ensemble,metadata_stacker,-0.0253,-2.27,0.145,-1.545
best_audio_mil_ensemble,wavlm_pseudo_frame,0.041,-3.083,2.636,0.478
best_audio_mil_ensemble,audio_llm_qwen25_omni,0.1059,-1.341,0.737,-0.219
metadata_stacker,wavlm_pseudo_frame,0.0663,-0.378,1.413,1.391
metadata_stacker,audio_llm_qwen25_omni,0.1312,0.154,0.625,0.841
wavlm_pseudo_frame,audio_llm_qwen25_omni,0.0649,0.531,-0.704,-0.464
