system_name,split,n_clips,pos_rate,threshold_source,tuned_threshold,f1,f1_macro,f1_weighted,balanced_accuracy,precision,recall,auroc,auprc,trivial_f1,trivial_f1_macro,trivial_balanced_accuracy,predictions_path,metrics_json_path,status,regenerated_at
baseline_results_seen_child/whisper_attn_lw,seen_child_test,441,0.7596,val-tuned,0.3549999999999999,0.8857,0.736,0.8137,0.7209,0.8596,0.9134,0.8646,0.9456,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_lw/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_lw/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_attn_ptt,seen_child_test,441,0.7596,val-tuned,0.5,0.8876,0.7364,0.8149,0.7191,0.8579,0.9194,0.864,0.9531,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_ptt/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_ptt/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_attn_unfreeze2,seen_child_test,441,0.7596,val-tuned,0.5049999999999999,0.8812,0.727,0.8071,0.7132,0.8563,0.9075,0.8598,0.9457,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_unfreeze2/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_unfreeze2/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_mean,seen_child_test,441,0.7596,val-tuned,0.5499999999999999,0.8735,0.7441,0.8113,0.7489,0.8815,0.8657,0.8604,0.947,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_mean/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_mean/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_stats_lw,seen_child_test,441,0.7596,val-tuned,0.5099999999999999,0.8705,0.707,0.7919,0.6963,0.8494,0.8925,0.8102,0.9283,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_stats_lw/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_stats_lw/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b,seen_child_test,441,0.7596,val-tuned,0.4499999999999999,0.8743,0.6661,0.7742,0.6464,0.8215,0.9343,0.7696,0.9,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_2shot,seen_child_test,441,0.7596,val-tuned,0.4499999999999999,0.8727,0.6639,0.7723,0.6449,0.8211,0.9313,0.7694,0.9003,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_2shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_2shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_5shot,seen_child_test,441,0.7596,val-tuned,0.4499999999999999,0.8743,0.6661,0.7742,0.6464,0.8215,0.9343,0.7696,0.9,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_5shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_5shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_cross_child,seen_child_test,496,0.754,val-tuned,0.35,0.8669,0.6184,0.7447,0.6057,0.7978,0.9492,0.8203,0.9285,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_cross_child/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_cross_child/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_synth_2shot,seen_child_test,441,0.7596,val-tuned,0.4499999999999999,0.8745,0.6474,0.7653,0.6288,0.8128,0.9463,0.779,0.8994,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_synth_2shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_synth_2shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_2shot,seen_child_test,441,0.7596,val-tuned,0.2,0.8598,0.5585,0.715,0.561,0.7838,0.9522,0.7096,0.8636,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_2shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_2shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_5shot,seen_child_test,441,0.7596,val-tuned,0.2,0.8598,0.5585,0.715,0.561,0.7838,0.9522,0.7096,0.8636,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_5shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen25_omni_7b_target_5shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b,seen_child_test,441,0.7596,val-tuned,0.85,0.8709,0.6302,0.7552,0.6146,0.8066,0.9463,0.7251,0.8528,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_2shot,seen_child_test,441,0.7596,val-tuned,0.85,0.8709,0.6302,0.7552,0.6146,0.8066,0.9463,0.7251,0.8528,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_2shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_2shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_5shot,seen_child_test,441,0.7596,val-tuned,0.85,0.8709,0.6302,0.7552,0.6146,0.8066,0.9463,0.7251,0.8528,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_5shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_5shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_cross_child,seen_child_test,496,0.754,val-tuned,0.6,0.8693,0.5465,0.7105,0.5589,0.7768,0.9866,0.7791,0.9095,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_cross_child/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_cross_child/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot,seen_child_test,441,0.7596,val-tuned,0.75,0.8633,0.5566,0.7159,0.5608,0.7835,0.9612,0.7127,0.8611,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot_v1,seen_child_test,441,0.7596,val-tuned,0.75,0.8633,0.5566,0.7159,0.5608,0.7835,0.9612,0.7127,0.8611,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot_v1/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen2_audio_7b_synth_2shot_v1/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,all_children_coverage,3314,0.7426,val-tuned,0.75,0.8736,0.6899,0.7791,0.6688,0.8185,0.9366,0.7991,0.9044,0.8523,0.4261,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking/test_all_predictions.csv,,OK,2026-05-13T02:26:54+00:00
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,seen_child_test,635,0.7575,val-tuned,0.75,0.8702,0.6637,0.7701,0.6454,0.8199,0.9272,0.7857,0.9076,0.862,0.431,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_model_baseline_runs/cohere_transcribe,seen_child_test,441,0.7596,val-tuned,0.05,0.8634,0.4317,0.6559,0.5,0.7596,1.0,0.5,0.7596,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/cohere_transcribe/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/cohere_transcribe/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_model_baseline_runs/cohere_transcribe_cross_child,seen_child_test,496,0.754,val-tuned,0.05,0.8598,0.4299,0.6483,0.5,0.754,1.0,0.5,0.754,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/cohere_transcribe_cross_child/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/cohere_transcribe_cross_child/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_model_baseline_runs/granite_speech_1b,seen_child_test,441,0.7596,val-tuned,0.05,0.863,0.4408,0.6601,0.5032,0.7608,0.997,0.454,0.7256,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/granite_speech_1b/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/granite_speech_1b/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/audio_model_baseline_runs/granite_speech_1b_cross_child,seen_child_test,496,0.754,val-tuned,0.05,0.8598,0.4299,0.6483,0.5,0.754,1.0,0.4735,0.7404,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/granite_speech_1b_cross_child/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/audio_model_baseline_runs/granite_speech_1b_cross_child/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/baseline_results/fused_attn,seen_child_test,496,0.754,val-tuned,0.595,0.8697,0.6668,0.7699,0.6483,0.8184,0.9278,0.8306,0.9314,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/baseline_results/fused_attn_lw,seen_child_test,496,0.754,val-tuned,0.71,0.8828,0.694,0.7899,0.67,0.8271,0.9465,0.8569,0.9486,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn_lw/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn_lw/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/baseline_results/fused_attn_unfreeze2,seen_child_test,496,0.754,val-tuned,0.5,0.8965,0.7757,0.8371,0.7646,0.8792,0.9144,0.7994,0.8916,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn_unfreeze2/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/fused_attn_unfreeze2/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
baselines/baseline_results/wavlm_attn,seen_child_test,496,0.754,val-tuned,0.7949999999999999,0.8744,0.6821,0.7798,0.662,0.8246,0.9305,0.8079,0.9244,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_attn/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_attn/test_metrics_tuned.json,OK,2026-05-13T02:26:53+00:00
baselines/baseline_results/wavlm_attn_lw,seen_child_test,496,0.754,val-tuned,0.4549999999999999,0.8714,0.6202,0.7478,0.607,0.7978,0.9599,0.8175,0.9271,0.8598,0.4299,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_attn_lw/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baselines/baseline_results/wavlm_attn_lw/test_metrics_tuned.json,OK,2026-05-13T02:26:54+00:00
