system,kind,target,value
best_audio_mil_ensemble,recall_at_fpr,0.01,0.34328358208955223
best_audio_mil_ensemble,recall_at_fpr,0.05,0.49850746268656715
best_audio_mil_ensemble,recall_at_fpr,0.1,0.6358208955223881
best_audio_mil_ensemble,precision_at_recall,0.5,0.9682237369687249
best_audio_mil_ensemble,review_burden_at_recall,0.5,0.3945578231292517
best_audio_mil_ensemble,precision_at_recall,0.75,0.9472194637537239
best_audio_mil_ensemble,review_burden_at_recall,0.75,0.6031746031746031
best_audio_mil_ensemble,precision_at_recall,0.9,0.8751811594202898
best_audio_mil_ensemble,review_burden_at_recall,0.9,0.782312925170068
best_audio_mil_ensemble,precision_at_recall,0.95,0.8325700928191598
best_audio_mil_ensemble,review_burden_at_recall,0.95,0.8684807256235828
metadata_stacker,recall_at_fpr,0.01,0.31343283582089554
metadata_stacker,recall_at_fpr,0.05,0.6537313432835821
metadata_stacker,recall_at_fpr,0.1,0.755223880597015
metadata_stacker,precision_at_recall,0.5,0.9766761865905073
metadata_stacker,review_burden_at_recall,0.5,0.3900226757369615
metadata_stacker,precision_at_recall,0.75,0.9654177718832891
metadata_stacker,review_burden_at_recall,0.75,0.5918367346938775
metadata_stacker,precision_at_recall,0.9,0.9040477603351855
metadata_stacker,review_burden_at_recall,0.9,0.7573696145124716
metadata_stacker,precision_at_recall,0.95,0.8737129309047117
metadata_stacker,review_burden_at_recall,0.95,0.8276643990929705
wavlm_pseudo_frame,recall_at_fpr,0.01,0.3164179104477612
wavlm_pseudo_frame,recall_at_fpr,0.05,0.4626865671641791
wavlm_pseudo_frame,recall_at_fpr,0.1,0.5552238805970149
wavlm_pseudo_frame,precision_at_recall,0.5,0.9436615247889291
wavlm_pseudo_frame,review_burden_at_recall,0.5,0.4036281179138322
wavlm_pseudo_frame,precision_at_recall,0.75,0.9086839224272756
wavlm_pseudo_frame,review_burden_at_recall,0.75,0.6303854875283447
wavlm_pseudo_frame,precision_at_recall,0.9,0.8714080459770114
wavlm_pseudo_frame,review_burden_at_recall,0.9,0.7868480725623582
wavlm_pseudo_frame,precision_at_recall,0.95,0.8031543393634073
wavlm_pseudo_frame,review_burden_at_recall,0.95,0.9002267573696145
audio_llm_qwen25_omni,recall_at_fpr,0.01,0.14328358208955225
audio_llm_qwen25_omni,recall_at_fpr,0.05,0.21791044776119403
audio_llm_qwen25_omni,recall_at_fpr,0.1,0.32238805970149254
audio_llm_qwen25_omni,precision_at_recall,0.5,0.9029642545771578
audio_llm_qwen25_omni,review_burden_at_recall,0.5,0.4217687074829932
audio_llm_qwen25_omni,precision_at_recall,0.75,0.8686254623553276
audio_llm_qwen25_omni,review_burden_at_recall,0.75,0.6575963718820862
audio_llm_qwen25_omni,precision_at_recall,0.9,0.8410038748229876
audio_llm_qwen25_omni,review_burden_at_recall,0.9,0.8140589569160998
audio_llm_qwen25_omni,precision_at_recall,0.95,0.8113445759983382
audio_llm_qwen25_omni,review_burden_at_recall,0.95,0.891156462585034
