clip_id,child_id,age_band,error_mode,label,proba_audio_only,proba_gated_av,proba_delta,visual_eligible,visual_eligibility_score,off_camera_likely_score,multi_person_clip,child_visible_score,manual_face_visibility_norm,manual_quality_norm,child_of_interest_clear_binary,n_face_tracks,existing_audio_score
3010,S4C2W1M7Q0,34_38_months,av_helped_fn,1,0.0,0.151155412197113,0.151155412197113,1,0.94,,0,,0.9,1.0,1.0,,0.0
975,H3B5L5F8T1,34_38_months,av_helped_fn,1,0.0,0.1503763794898986,0.1503763794898986,1,0.94,,1,,0.9,1.0,1.0,,0.0
1042,U6O5F2B7T5,34_38_months,av_helped_fn,1,0.0209689906134732,0.1668821551572179,0.1459131645437447,1,0.94,,0,,0.9,1.0,1.0,,0.0209689906134732
1997,H7C3T0K5E5,14_18_months,av_helped_fn,1,0.0,0.1403111070394516,0.1403111070394516,1,0.76,,1,,0.6,1.0,1.0,,0.0
3262,A3G3T7I1A5,14_18_months,av_helped_fn,1,0.0,0.1402127742767334,0.1402127742767334,1,0.8200000000000001,,1,,0.7,1.0,1.0,,0.0
3193,D4Y7P4G2V4,14_18_months,av_helped_fn,1,0.0,0.1396272629499435,0.1396272629499435,1,0.8200000000000001,,1,,0.7,1.0,1.0,,0.0
450,W3P0N4W0X9,14_18_months,av_helped_fn,1,0.0,0.1386175155639648,0.1386175155639648,1,0.76,,1,,0.6,1.0,1.0,,0.0
121,C0O6X3N5Y7,14_18_months,av_helped_fn,1,0.0,0.1357365548610687,0.1357365548610687,1,0.88,,0,,0.8,1.0,1.0,,0.0
2530,G3A6S5R9F7,14_18_months,av_helped_fn,1,0.0,0.1357365548610687,0.1357365548610687,1,0.88,,0,,0.8,1.0,1.0,,0.0
1631,B1S3L8Q7Y6,34_38_months,av_hurt_fp,0,0.0,0.1891238987445831,0.1891238987445831,1,0.88,,0,,0.8,1.0,1.0,,0.0
2871,G4J8F6F4X0,34_38_months,av_hurt_fp,0,0.0,0.1891238987445831,0.1891238987445831,1,0.88,,0,,0.8,1.0,1.0,,0.0
3216,D4Y7P4G2V4,34_38_months,av_hurt_fp,0,0.0,0.1871779561042785,0.1871779561042785,1,0.88,,1,,0.8,1.0,1.0,,0.0
815,S9D2T7Y9B1,34_38_months,av_hurt_fp,0,0.0,0.1789716035127639,0.1789716035127639,1,0.8200000000000001,,1,,0.8,0.85,1.0,,0.0
377,S2C4T1Y7V7,34_38_months,av_hurt_fp,0,0.0,0.1756953746080398,0.1756953746080398,1,1.0,,0,,1.0,1.0,1.0,,0.0
2798,L4M8P2T7S0,34_38_months,av_hurt_fp,0,0.0,0.1742847263813018,0.1742847263813018,1,0.74,,0,,0.6,0.95,1.0,,0.0
2835,G4J8F6F4X0,34_38_months,av_hurt_fp,0,0.0,0.1724578440189361,0.1724578440189361,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
3077,N3C7S2N8O0,34_38_months,av_hurt_fp,0,0.0,0.1724578440189361,0.1724578440189361,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
385,S2C4T1Y7V7,34_38_months,av_hurt_fp,0,0.0,0.1724578440189361,0.1724578440189361,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
1413,W9K7Y8Y0V6,34_38_months,av_hurt_fp,0,0.0,0.1626452207565307,0.1626452207565307,1,0.88,,1,,0.8,1.0,1.0,,0.0
1511,Q9W9P7Z3J7,34_38_months,av_hurt_fp,0,0.0,0.151155412197113,0.151155412197113,1,0.94,,0,,0.9,1.0,1.0,,0.0
1063,N3L7A1I2B9,34_38_months,av_hurt_fp,0,0.0,0.1503763794898986,0.1503763794898986,1,0.94,,1,,0.9,1.0,1.0,,0.0
1911,E2P5Q8S5A7,14_18_months,av_hurt_fp,0,0.0,0.1436164081096649,0.1436164081096649,1,0.8200000000000001,,1,,0.7,1.0,1.0,,0.0
2026,E7Z4G3O5K2,14_18_months,av_hurt_fp,0,0.0,0.1376712918281555,0.1376712918281555,1,1.0,,1,,1.0,1.0,0.0,,0.0
1538,A1H3H9Y3T1,14_18_months,av_hurt_fp,0,0.0,0.1357365548610687,0.1357365548610687,1,0.88,,0,,0.8,1.0,1.0,,0.0
1687,B1S3L8Q7Y6,14_18_months,av_hurt_fp,0,0.0,0.1357365548610687,0.1357365548610687,1,0.88,,0,,0.8,1.0,1.0,,0.0
1956,B4Q3G8H2N3,14_18_months,av_hurt_fp,0,0.0,0.1357365548610687,0.1357365548610687,1,0.88,,0,,0.8,1.0,1.0,,0.0
3059,N3C7S2N8O0,14_18_months,av_hurt_fp,0,0.0,0.1357365548610687,0.1357365548610687,1,0.88,,0,,0.8,1.0,1.0,,0.0
19,W7P7J6H1H6,14_18_months,av_hurt_fp,0,0.0,0.1268257200717926,0.1268257200717926,1,0.94,,1,,0.9,1.0,1.0,,0.0
462,I8T4E2J3M6,14_18_months,av_hurt_fp,0,0.0,0.119277074933052,0.119277074933052,1,0.94,,1,,1.0,0.85,0.0,,0.0
1949,B4Q3G8H2N3,14_18_months,multi_face_ambiguous,1,0.0,0.056050669401884,0.056050669401884,1,0.94,,1,,0.9,1.0,1.0,,0.0
1674,B1S3L8Q7Y6,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.5800000000000001,,1,,0.3,1.0,0.0,,0.0
74,C5U1P3X9F0,14_18_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.7,,1,,0.5,1.0,1.0,,0.0
3195,D4Y7P4G2V4,14_18_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.5800000000000001,,1,,0.3,1.0,0.0,,0.0
488,I8T4E2J3M6,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.52,,1,,0.2,1.0,1.0,,0.0
1861,J3J0V4T8C3,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.52,,1,,0.2,1.0,1.0,,0.0
601,J4J6X7C4D9,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.5800000000000001,,1,,0.3,1.0,1.0,,0.0
1486,Q9W9P7Z3J7,14_18_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.62,,1,,0.6,0.65,1.0,,0.0
1490,Q9W9P7Z3J7,14_18_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.26,,1,,0.1,0.5,1.0,,0.0
381,S2C4T1Y7V7,34_38_months,multi_face_ambiguous,1,0.074152621982554,0.074152621982554,0.0,0,0.7,,1,,0.5,1.0,1.0,,0.074152621982554
3005,S4C2W1M7Q0,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.52,,1,,0.2,1.0,1.0,,0.0
2138,S7F0B6H3A3,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.52,,1,,0.2,1.0,1.0,,0.0
2730,S9B3J7I4R1,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.7,,1,,0.5,1.0,0.0,,0.0
440,W3P0N4W0X9,34_38_months,multi_face_ambiguous,1,0.0,0.0,0.0,0,0.7,,1,,0.5,1.0,1.0,,0.0
