experiment,child_id,timepoint,n_clips,accuracy,n_fp,n_fn
fused_attn_unfreeze2,Z3H6O7C3O9,36_month,7,0.7142857142857143,2,0
wavlm_attn,B8I6G9P2G8,14_month,9,0.5555555555555556,4,0
wavlm_attn,C0O6X3N5Y7,14_month,47,0.7446808510638298,9,3
wavlm_attn,C1G1X2G4C6,14_month,18,0.6666666666666666,4,2
wavlm_attn,D4Y7P4G2V4,14_month,28,0.7142857142857143,8,0
wavlm_attn,D8G5K7I0D6,14_month,20,0.65,7,0
wavlm_attn,D8O8B2C4X2,36_month,18,0.8333333333333334,1,2
wavlm_attn,F3N4H0K1Z1,36_month,54,0.7962962962962963,8,3
wavlm_attn,G3D3S2N7W8,14_month,11,0.8181818181818182,1,1
wavlm_attn,G7P6U6U2J5,36_month,5,1.0,0,0
wavlm_attn,L4M8P2T7S0,36_month,36,0.8055555555555556,2,5
wavlm_attn,L5Q0Z1W8S2,14_month,7,1.0,0,0
wavlm_attn,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
wavlm_attn,N3L7A1I2B9,36_month,129,0.8449612403100775,13,7
wavlm_attn,R2C7W8X7N9,36_month,10,0.8,2,0
wavlm_attn,S7Y0I2P0S8,14_month,19,1.0,0,0
wavlm_attn,T2H0J0N2Z5,14_month,23,0.8695652173913043,2,1
wavlm_attn,U6O5F2B7T5,14_month,17,0.9411764705882353,0,1
wavlm_attn,X2V2P0U5X4,36_month,2,0.5,0,1
wavlm_attn,Y4W4H9A8X5,14_month,11,0.36363636363636365,7,0
wavlm_attn,Y6Z4H0C5U2,36_month,14,1.0,0,0
wavlm_attn,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
wavlm_attn_lw,B8I6G9P2G8,14_month,9,0.5555555555555556,4,0
wavlm_attn_lw,C0O6X3N5Y7,14_month,47,0.7659574468085106,9,2
wavlm_attn_lw,C1G1X2G4C6,14_month,18,0.5,9,0
wavlm_attn_lw,D4Y7P4G2V4,14_month,28,0.6071428571428571,10,1
wavlm_attn_lw,D8G5K7I0D6,14_month,20,0.65,7,0
wavlm_attn_lw,D8O8B2C4X2,36_month,18,0.8888888888888888,1,1
wavlm_attn_lw,F3N4H0K1Z1,36_month,54,0.8333333333333334,8,1
wavlm_attn_lw,G3D3S2N7W8,14_month,11,0.8181818181818182,1,1
wavlm_attn_lw,G7P6U6U2J5,36_month,5,1.0,0,0
wavlm_attn_lw,L4M8P2T7S0,36_month,36,0.8333333333333334,4,2
wavlm_attn_lw,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
wavlm_attn_lw,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
wavlm_attn_lw,N3L7A1I2B9,36_month,129,0.8449612403100775,17,3
wavlm_attn_lw,R2C7W8X7N9,36_month,10,0.8,2,0
wavlm_attn_lw,S7Y0I2P0S8,14_month,19,1.0,0,0
wavlm_attn_lw,T2H0J0N2Z5,14_month,23,0.782608695652174,3,2
wavlm_attn_lw,U6O5F2B7T5,14_month,17,0.9411764705882353,0,1
wavlm_attn_lw,X2V2P0U5X4,36_month,2,0.5,0,1
wavlm_attn_lw,Y4W4H9A8X5,14_month,11,0.36363636363636365,7,0
wavlm_attn_lw,Y6Z4H0C5U2,36_month,14,1.0,0,0
wavlm_attn_lw,Z3H6O7C3O9,36_month,7,0.2857142857142857,5,0
wavlm_mean,B8I6G9P2G8,14_month,9,0.4444444444444444,4,1
wavlm_mean,C0O6X3N5Y7,14_month,47,0.723404255319149,11,2
wavlm_mean,C1G1X2G4C6,14_month,18,0.5555555555555556,8,0
wavlm_mean,D4Y7P4G2V4,14_month,28,0.6071428571428571,11,0
wavlm_mean,D8G5K7I0D6,14_month,20,0.6,8,0
wavlm_mean,D8O8B2C4X2,36_month,18,0.8333333333333334,1,2
wavlm_mean,F3N4H0K1Z1,36_month,54,0.7777777777777778,9,3
wavlm_mean,G3D3S2N7W8,14_month,11,0.9090909090909091,1,0
wavlm_mean,G7P6U6U2J5,36_month,5,1.0,0,0
wavlm_mean,L4M8P2T7S0,36_month,36,0.8611111111111112,4,1
wavlm_mean,L5Q0Z1W8S2,14_month,7,1.0,0,0
wavlm_mean,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
wavlm_mean,N3L7A1I2B9,36_month,129,0.8449612403100775,17,3
wavlm_mean,R2C7W8X7N9,36_month,10,0.7,3,0
wavlm_mean,S7Y0I2P0S8,14_month,19,1.0,0,0
wavlm_mean,T2H0J0N2Z5,14_month,23,0.8260869565217391,3,1
wavlm_mean,U6O5F2B7T5,14_month,17,0.8823529411764706,2,0
wavlm_mean,X2V2P0U5X4,36_month,2,1.0,0,0
wavlm_mean,Y4W4H9A8X5,14_month,11,0.36363636363636365,7,0
wavlm_mean,Y6Z4H0C5U2,36_month,14,1.0,0,0
wavlm_mean,Z3H6O7C3O9,36_month,7,0.42857142857142855,4,0
wavlm_stats_lw,B8I6G9P2G8,14_month,9,0.5555555555555556,4,0
wavlm_stats_lw,C0O6X3N5Y7,14_month,47,0.7446808510638298,12,0
wavlm_stats_lw,C1G1X2G4C6,14_month,18,0.2777777777777778,13,0
wavlm_stats_lw,D4Y7P4G2V4,14_month,28,0.6071428571428571,11,0
wavlm_stats_lw,D8G5K7I0D6,14_month,20,0.6,8,0
wavlm_stats_lw,D8O8B2C4X2,36_month,18,0.9444444444444444,1,0
wavlm_stats_lw,F3N4H0K1Z1,36_month,54,0.8333333333333334,9,0
wavlm_stats_lw,G3D3S2N7W8,14_month,11,0.9090909090909091,1,0
wavlm_stats_lw,G7P6U6U2J5,36_month,5,1.0,0,0
wavlm_stats_lw,L4M8P2T7S0,36_month,36,0.8888888888888888,4,0
wavlm_stats_lw,L5Q0Z1W8S2,14_month,7,0.7142857142857143,2,0
wavlm_stats_lw,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
wavlm_stats_lw,N3L7A1I2B9,36_month,129,0.8062015503875969,23,2
wavlm_stats_lw,R2C7W8X7N9,36_month,10,0.5,5,0
wavlm_stats_lw,S7Y0I2P0S8,14_month,19,0.9473684210526315,1,0
wavlm_stats_lw,T2H0J0N2Z5,14_month,23,0.8260869565217391,4,0
wavlm_stats_lw,U6O5F2B7T5,14_month,17,0.8235294117647058,2,1
wavlm_stats_lw,X2V2P0U5X4,36_month,2,1.0,0,0
wavlm_stats_lw,Y4W4H9A8X5,14_month,11,0.2727272727272727,8,0
wavlm_stats_lw,Y6Z4H0C5U2,36_month,14,1.0,0,0
wavlm_stats_lw,Z3H6O7C3O9,36_month,7,0.2857142857142857,5,0
whisper_attn,B8I6G9P2G8,14_month,9,0.7777777777777778,2,0
whisper_attn,C0O6X3N5Y7,14_month,47,0.8085106382978723,4,5
whisper_attn,C1G1X2G4C6,14_month,18,0.6666666666666666,6,0
whisper_attn,D4Y7P4G2V4,14_month,28,0.7142857142857143,7,1
whisper_attn,D8G5K7I0D6,14_month,20,0.7,6,0
whisper_attn,D8O8B2C4X2,36_month,18,0.9444444444444444,1,0
whisper_attn,F3N4H0K1Z1,36_month,54,0.8518518518518519,6,2
whisper_attn,G3D3S2N7W8,14_month,11,0.45454545454545453,1,5
whisper_attn,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_attn,L4M8P2T7S0,36_month,36,0.8888888888888888,2,2
whisper_attn,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
whisper_attn,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
whisper_attn,N3L7A1I2B9,36_month,129,0.8527131782945736,4,15
whisper_attn,R2C7W8X7N9,36_month,10,0.7,3,0
whisper_attn,S7Y0I2P0S8,14_month,19,0.9473684210526315,0,1
whisper_attn,T2H0J0N2Z5,14_month,23,0.782608695652174,2,3
whisper_attn,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
whisper_attn,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_attn,Y4W4H9A8X5,14_month,11,0.5454545454545454,5,0
whisper_attn,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_attn,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
whisper_attn_aug,B8I6G9P2G8,14_month,9,0.6666666666666666,3,0
whisper_attn_aug,C0O6X3N5Y7,14_month,47,0.7446808510638298,4,8
whisper_attn_aug,C1G1X2G4C6,14_month,18,0.7222222222222222,4,1
whisper_attn_aug,D4Y7P4G2V4,14_month,28,0.6785714285714286,6,3
whisper_attn_aug,D8G5K7I0D6,14_month,20,0.7,5,1
whisper_attn_aug,D8O8B2C4X2,36_month,18,0.9444444444444444,1,0
whisper_attn_aug,F3N4H0K1Z1,36_month,54,0.8333333333333334,6,3
whisper_attn_aug,G3D3S2N7W8,14_month,11,0.45454545454545453,1,5
whisper_attn_aug,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_attn_aug,L4M8P2T7S0,36_month,36,0.9166666666666666,1,2
whisper_attn_aug,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
whisper_attn_aug,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
whisper_attn_aug,N3L7A1I2B9,36_month,129,0.813953488372093,8,16
whisper_attn_aug,R2C7W8X7N9,36_month,10,0.7,3,0
whisper_attn_aug,S7Y0I2P0S8,14_month,19,0.9473684210526315,0,1
whisper_attn_aug,T2H0J0N2Z5,14_month,23,0.8260869565217391,2,2
whisper_attn_aug,U6O5F2B7T5,14_month,17,0.8235294117647058,1,2
whisper_attn_aug,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_attn_aug,Y4W4H9A8X5,14_month,11,0.45454545454545453,6,0
whisper_attn_aug,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_attn_aug,Z3H6O7C3O9,36_month,7,0.7142857142857143,2,0
whisper_attn_aug_ptt,B8I6G9P2G8,14_month,9,0.5555555555555556,4,0
whisper_attn_aug_ptt,C0O6X3N5Y7,14_month,47,0.7872340425531915,6,4
whisper_attn_aug_ptt,C1G1X2G4C6,14_month,18,0.4444444444444444,9,1
whisper_attn_aug_ptt,D4Y7P4G2V4,14_month,28,0.75,6,1
whisper_attn_aug_ptt,D8G5K7I0D6,14_month,20,0.65,6,1
whisper_attn_aug_ptt,D8O8B2C4X2,36_month,18,0.8888888888888888,1,1
whisper_attn_aug_ptt,F3N4H0K1Z1,36_month,54,0.8703703703703703,7,0
whisper_attn_aug_ptt,G3D3S2N7W8,14_month,11,0.7272727272727273,0,3
whisper_attn_aug_ptt,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_attn_aug_ptt,L4M8P2T7S0,36_month,36,0.8888888888888888,3,1
whisper_attn_aug_ptt,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
whisper_attn_aug_ptt,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
whisper_attn_aug_ptt,N3L7A1I2B9,36_month,129,0.8062015503875969,10,15
whisper_attn_aug_ptt,R2C7W8X7N9,36_month,10,0.9,1,0
whisper_attn_aug_ptt,S7Y0I2P0S8,14_month,19,0.8947368421052632,1,1
whisper_attn_aug_ptt,T2H0J0N2Z5,14_month,23,0.7391304347826086,3,3
whisper_attn_aug_ptt,U6O5F2B7T5,14_month,17,0.8235294117647058,1,2
whisper_attn_aug_ptt,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_attn_aug_ptt,Y4W4H9A8X5,14_month,11,0.36363636363636365,7,0
whisper_attn_aug_ptt,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_attn_aug_ptt,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
whisper_attn_lw,B8I6G9P2G8,14_month,9,0.4444444444444444,4,1
whisper_attn_lw,C0O6X3N5Y7,14_month,47,0.6382978723404256,12,5
whisper_attn_lw,C1G1X2G4C6,14_month,18,0.3888888888888889,10,1
whisper_attn_lw,D4Y7P4G2V4,14_month,28,0.6785714285714286,9,0
whisper_attn_lw,D8G5K7I0D6,14_month,20,0.7,6,0
whisper_attn_lw,D8O8B2C4X2,36_month,18,0.8333333333333334,1,2
whisper_attn_lw,F3N4H0K1Z1,36_month,54,0.7777777777777778,8,4
whisper_attn_lw,G3D3S2N7W8,14_month,11,0.9090909090909091,1,0
whisper_attn_lw,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_attn_lw,L4M8P2T7S0,36_month,36,0.8611111111111112,4,1
whisper_attn_lw,L5Q0Z1W8S2,14_month,7,0.5714285714285714,1,2
whisper_attn_lw,L7Z6Q2U6Y6,36_month,11,0.6363636363636364,4,0
whisper_attn_lw,N3L7A1I2B9,36_month,129,0.8294573643410853,19,3
whisper_attn_lw,R2C7W8X7N9,36_month,10,0.8,2,0
whisper_attn_lw,S7Y0I2P0S8,14_month,19,1.0,0,0
whisper_attn_lw,T2H0J0N2Z5,14_month,23,0.6086956521739131,0,9
whisper_attn_lw,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
whisper_attn_lw,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_attn_lw,Y4W4H9A8X5,14_month,11,0.2727272727272727,8,0
whisper_attn_lw,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_attn_lw,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
whisper_attn_ptt,B8I6G9P2G8,14_month,9,0.6666666666666666,3,0
whisper_attn_ptt,C0O6X3N5Y7,14_month,47,0.7872340425531915,3,7
whisper_attn_ptt,C1G1X2G4C6,14_month,18,0.6111111111111112,6,1
whisper_attn_ptt,D4Y7P4G2V4,14_month,28,0.6428571428571429,9,1
whisper_attn_ptt,D8G5K7I0D6,14_month,20,0.7,5,1
whisper_attn_ptt,D8O8B2C4X2,36_month,18,0.8888888888888888,1,1
whisper_attn_ptt,F3N4H0K1Z1,36_month,54,0.8703703703703703,7,0
whisper_attn_ptt,G3D3S2N7W8,14_month,11,0.7272727272727273,1,2
whisper_attn_ptt,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_attn_ptt,L4M8P2T7S0,36_month,36,0.9166666666666666,2,1
whisper_attn_ptt,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
whisper_attn_ptt,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
whisper_attn_ptt,N3L7A1I2B9,36_month,129,0.813953488372093,9,15
whisper_attn_ptt,R2C7W8X7N9,36_month,10,0.9,1,0
whisper_attn_ptt,S7Y0I2P0S8,14_month,19,0.9473684210526315,1,0
whisper_attn_ptt,T2H0J0N2Z5,14_month,23,0.782608695652174,3,2
whisper_attn_ptt,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
whisper_attn_ptt,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_attn_ptt,Y4W4H9A8X5,14_month,11,0.2727272727272727,8,0
whisper_attn_ptt,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_attn_ptt,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
whisper_attn_unfreeze2,B8I6G9P2G8,14_month,9,0.6666666666666666,3,0
whisper_attn_unfreeze2,C0O6X3N5Y7,14_month,47,0.7446808510638298,8,4
whisper_attn_unfreeze2,C1G1X2G4C6,14_month,18,0.8333333333333334,3,0
whisper_attn_unfreeze2,D4Y7P4G2V4,14_month,28,0.7142857142857143,6,2
whisper_attn_unfreeze2,D8G5K7I0D6,14_month,20,0.7,6,0
whisper_attn_unfreeze2,D8O8B2C4X2,36_month,18,0.8333333333333334,1,2
whisper_attn_unfreeze2,F3N4H0K1Z1,36_month,54,0.8333333333333334,7,2
whisper_attn_unfreeze2,G3D3S2N7W8,14_month,11,0.6363636363636364,0,4
whisper_attn_unfreeze2,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_attn_unfreeze2,L4M8P2T7S0,36_month,36,0.8888888888888888,2,2
whisper_attn_unfreeze2,L5Q0Z1W8S2,14_month,7,0.7142857142857143,1,1
whisper_attn_unfreeze2,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
whisper_attn_unfreeze2,N3L7A1I2B9,36_month,129,0.8372093023255814,9,12
whisper_attn_unfreeze2,R2C7W8X7N9,36_month,10,0.6,4,0
whisper_attn_unfreeze2,S7Y0I2P0S8,14_month,19,1.0,0,0
whisper_attn_unfreeze2,T2H0J0N2Z5,14_month,23,0.782608695652174,3,2
whisper_attn_unfreeze2,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
whisper_attn_unfreeze2,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_attn_unfreeze2,Y4W4H9A8X5,14_month,11,0.36363636363636365,7,0
whisper_attn_unfreeze2,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_attn_unfreeze2,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
whisper_mean,B8I6G9P2G8,14_month,9,0.6666666666666666,3,0
whisper_mean,C0O6X3N5Y7,14_month,47,0.7872340425531915,5,5
whisper_mean,C1G1X2G4C6,14_month,18,0.7777777777777778,4,0
whisper_mean,D4Y7P4G2V4,14_month,28,0.7142857142857143,7,1
whisper_mean,D8G5K7I0D6,14_month,20,0.65,6,1
whisper_mean,D8O8B2C4X2,36_month,18,0.9444444444444444,1,0
whisper_mean,F3N4H0K1Z1,36_month,54,0.8518518518518519,6,2
whisper_mean,G3D3S2N7W8,14_month,11,0.5454545454545454,1,4
whisper_mean,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_mean,L4M8P2T7S0,36_month,36,0.8888888888888888,2,2
whisper_mean,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
whisper_mean,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
whisper_mean,N3L7A1I2B9,36_month,129,0.8604651162790697,4,14
whisper_mean,R2C7W8X7N9,36_month,10,0.7,3,0
whisper_mean,S7Y0I2P0S8,14_month,19,1.0,0,0
whisper_mean,T2H0J0N2Z5,14_month,23,0.8260869565217391,2,2
whisper_mean,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
whisper_mean,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_mean,Y4W4H9A8X5,14_month,11,0.45454545454545453,6,0
whisper_mean,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_mean,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
whisper_stats_lw,B8I6G9P2G8,14_month,9,0.6666666666666666,3,0
whisper_stats_lw,C0O6X3N5Y7,14_month,47,0.723404255319149,9,4
whisper_stats_lw,C1G1X2G4C6,14_month,18,0.5555555555555556,8,0
whisper_stats_lw,D4Y7P4G2V4,14_month,28,0.6071428571428571,11,0
whisper_stats_lw,D8G5K7I0D6,14_month,20,0.65,7,0
whisper_stats_lw,D8O8B2C4X2,36_month,18,0.9444444444444444,1,0
whisper_stats_lw,F3N4H0K1Z1,36_month,54,0.8148148148148148,7,3
whisper_stats_lw,G3D3S2N7W8,14_month,11,0.9090909090909091,1,0
whisper_stats_lw,G7P6U6U2J5,36_month,5,1.0,0,0
whisper_stats_lw,L4M8P2T7S0,36_month,36,0.8611111111111112,3,2
whisper_stats_lw,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
whisper_stats_lw,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
whisper_stats_lw,N3L7A1I2B9,36_month,129,0.8062015503875969,16,9
whisper_stats_lw,R2C7W8X7N9,36_month,10,0.7,3,0
whisper_stats_lw,S7Y0I2P0S8,14_month,19,0.8947368421052632,1,1
whisper_stats_lw,T2H0J0N2Z5,14_month,23,0.7391304347826086,4,2
whisper_stats_lw,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
whisper_stats_lw,X2V2P0U5X4,36_month,2,1.0,0,0
whisper_stats_lw,Y4W4H9A8X5,14_month,11,0.2727272727272727,8,0
whisper_stats_lw,Y6Z4H0C5U2,36_month,14,1.0,0,0
whisper_stats_lw,Z3H6O7C3O9,36_month,7,0.42857142857142855,4,0
