diarizer,child_id,timepoint_norm,n_clips,n_fp,n_fn,accuracy
Pyannote,S7Y0I2P0S8,14_month,5,0,1,0.8
Pyannote,S9B3J7I4R1,14_month,6,0,1,0.8333
Pyannote,S9D2T7Y9B1,14_month,3,1,1,0.3333
Pyannote,T1G8F8W8Y8,14_month,4,0,0,1.0
Pyannote,T2H0J0N2Z5,14_month,5,1,0,0.8
Pyannote,T8P2Z1M9O9,14_month,4,2,0,0.5
Pyannote,U6O5F2B7T5,14_month,3,0,0,1.0
Pyannote,V7D7K3H8B4,14_month,3,1,0,0.6667
Pyannote,V9X2Q7S1E1,14_month,1,0,0,1.0
Pyannote,W2E0Z9B7Z8,36_month,1,0,0,1.0
Pyannote,W3I4D2X4Z4,14_month,5,0,0,1.0
Pyannote,W3O7N1N8U2,14_month,2,0,0,1.0
Pyannote,W3P0N4W0X9,14_month,6,0,1,0.8333
Pyannote,W4O4B5W7K0,36_month,2,0,0,1.0
Pyannote,W7P7J6H1H6,14_month,2,1,1,0.0
Pyannote,W9K7Y8Y0V6,36_month,3,1,0,0.6667
Pyannote,W9S0D6Q7Z5,14_month,1,0,0,1.0
Pyannote,X1U1P0D1X3,14_month,3,0,1,0.6667
Pyannote,X2N4R2N5V8,36_month,2,0,0,1.0
Pyannote,Y4W4H9A8X5,36_month,2,1,0,0.5
Pyannote,Y6Z4H0C5U2,14_month,2,0,0,1.0
Pyannote,Z1J6X4Y3Z4,14_month,3,1,1,0.3333
Pyannote,Z2E7T3I3H2,14_month,4,1,1,0.5
Pyannote,Z3H6O7C3O9,36_month,1,0,0,1.0
USC-SAIL,A1H3H9Y3T1,14_month,3,1,0,0.6667
USC-SAIL,A2M5H0V6E3,14_month,3,0,0,1.0
USC-SAIL,A2P7X9N8L7,14_month,5,1,0,0.8
USC-SAIL,A3G3T7I1A5,14_month,4,0,0,1.0
USC-SAIL,A4E8K1L5Y2,36_month,3,0,0,1.0
USC-SAIL,A5X1S7S1E7,14_month,3,0,0,1.0
USC-SAIL,A6S0V1J3G6,14_month,1,1,0,0.0
USC-SAIL,A6Y4Y7X2G1,14_month,6,2,0,0.6667
USC-SAIL,A6Z2B3J2A9,14_month,2,0,0,1.0
USC-SAIL,A8P5O6Z7X6,14_month,1,1,0,0.0
USC-SAIL,B1L0B3F6F1,14_month,3,0,0,1.0
USC-SAIL,B1S3L8Q7Y6,14_month,17,3,0,0.8235
USC-SAIL,B2R3Q8L2Y3,14_month,4,0,0,1.0
USC-SAIL,B4Q3G8H2N3,14_month,8,0,4,0.5
USC-SAIL,B8I6G9P2G8,36_month,1,0,0,1.0
USC-SAIL,B9P5V1I5O5,14_month,2,2,0,0.0
USC-SAIL,C0O6X3N5Y7,14_month,10,1,0,0.9
USC-SAIL,C1G1X2G4C6,14_month,3,2,0,0.3333
USC-SAIL,C1I8N8L4Q4,36_month,2,1,0,0.5
USC-SAIL,C3A8Q4J6E5,14_month,1,0,0,1.0
USC-SAIL,C4C7T6W2I0,14_month,3,1,0,0.6667
USC-SAIL,C5L2D6N1W6,14_month,2,1,0,0.5
USC-SAIL,C5U1P3X9F0,14_month,8,0,0,1.0
USC-SAIL,D4Y7P4G2V4,14_month,5,0,0,1.0
USC-SAIL,D8G5K7I0D6,14_month,4,1,0,0.75
USC-SAIL,D8O8B2C4X2,14_month,3,0,0,1.0
USC-SAIL,D9N0U7M9X3,36_month,1,0,0,1.0
USC-SAIL,E2P5Q8S5A7,14_month,3,1,0,0.6667
USC-SAIL,E3O3H8O7H4,14_month,3,1,0,0.6667
USC-SAIL,E7G3N4A1K5,36_month,2,0,0,1.0
USC-SAIL,E7T7O3G7J5,14_month,3,0,0,1.0
USC-SAIL,E7Z4G3O5K2,14_month,4,1,1,0.5
USC-SAIL,F3N4H0K1Z1,14_month,12,1,0,0.9167
USC-SAIL,F6J0V8B6S4,36_month,1,1,0,0.0
USC-SAIL,F8N7H3T0O1,14_month,6,2,0,0.6667
USC-SAIL,F8V2U5P1A0,14_month,5,1,0,0.8
USC-SAIL,G2N1M4K2S0,14_month,1,0,0,1.0
USC-SAIL,G3A6S5R9F7,14_month,5,2,0,0.6
USC-SAIL,G3D3S2N7W8,14_month,2,1,0,0.5
USC-SAIL,G4J8F6F4X0,14_month,11,5,0,0.5455
USC-SAIL,G8Q8I6N0I3,14_month,2,0,0,1.0
USC-SAIL,H3B5L5F8T1,14_month,5,1,0,0.8
USC-SAIL,H7C3T0K5E5,14_month,4,0,2,0.5
USC-SAIL,I8T4E2J3M6,14_month,8,6,0,0.25
USC-SAIL,J3J0V4T8C3,14_month,12,2,1,0.75
USC-SAIL,J4J6X7C4D9,14_month,5,0,1,0.8
USC-SAIL,K6I1Q4G2V4,14_month,2,0,0,1.0
USC-SAIL,K6O1J5K7Z0,14_month,7,0,0,1.0
USC-SAIL,L0B0Q5O3Q3,14_month,10,1,0,0.9
USC-SAIL,L0C6T6H2C6,14_month,3,0,0,1.0
USC-SAIL,L3F0P2N3D1,14_month,1,0,0,1.0
USC-SAIL,L4K0P3T4Q8,14_month,2,0,0,1.0
USC-SAIL,L4M1H7J7G3,14_month,8,0,0,1.0
USC-SAIL,L4M8P2T7S0,36_month,7,0,0,1.0
USC-SAIL,L5Q0Z1W8S2,14_month,1,0,0,1.0
USC-SAIL,L5V8G4A3K7,14_month,1,1,0,0.0
USC-SAIL,L6F2P7K8P1,14_month,5,0,0,1.0
USC-SAIL,L7Z6Q2U6Y6,36_month,2,0,0,1.0
USC-SAIL,M2N1C8G1C8,14_month,1,0,0,1.0
USC-SAIL,M4R4B8C7G8,36_month,1,1,0,0.0
USC-SAIL,M5F7G8S4F0,14_month,3,0,0,1.0
USC-SAIL,M5H7X4O2M2,14_month,3,2,0,0.3333
USC-SAIL,M5O1K4W9O1,14_month,5,0,2,0.6
USC-SAIL,M5Y0K3C9L0,14_month,3,1,0,0.6667
USC-SAIL,N2H7T0A7U5,36_month,1,0,0,1.0
USC-SAIL,N2Z6J3E5Q5,14_month,6,0,0,1.0
USC-SAIL,N3C7S2N8O0,14_month,5,1,0,0.8
USC-SAIL,N3L7A1I2B9,14_month,25,4,0,0.84
USC-SAIL,N5I9D3R2M1,14_month,4,0,1,0.75
USC-SAIL,N6O9P4J0Q2,14_month,1,0,0,1.0
USC-SAIL,O2U2C6W2S9,14_month,3,0,0,1.0
USC-SAIL,O5Q7I1O6N2,14_month,4,0,0,1.0
USC-SAIL,O6F1J9U1J2,14_month,4,1,0,0.75
USC-SAIL,O7X6W5O8E0,14_month,3,0,0,1.0
USC-SAIL,P3A4R4S2O3,14_month,2,0,0,1.0
USC-SAIL,Q9W9P7Z3J7,14_month,6,2,0,0.6667
USC-SAIL,R2C7W8X7N9,14_month,2,0,0,1.0
USC-SAIL,R4O0P4P3J4,14_month,3,0,0,1.0
USC-SAIL,R6R8Q6A7K0,14_month,8,2,0,0.75
USC-SAIL,S0M6Z7D5X7,14_month,3,1,0,0.6667
USC-SAIL,S2C4T1Y7V7,14_month,6,1,0,0.8333
USC-SAIL,S4C2W1M7Q0,36_month,4,0,0,1.0
USC-SAIL,S4O9O2E5Z0,14_month,4,1,0,0.75
USC-SAIL,S6T9X3C8Y2,14_month,2,2,0,0.0
USC-SAIL,S7F0B6H3A3,14_month,5,1,0,0.8
USC-SAIL,S7Y0I2P0S8,14_month,5,0,0,1.0
USC-SAIL,S9B3J7I4R1,14_month,6,0,1,0.8333
USC-SAIL,S9D2T7Y9B1,14_month,3,1,0,0.6667
USC-SAIL,T1G8F8W8Y8,14_month,4,0,0,1.0
USC-SAIL,T2H0J0N2Z5,14_month,5,1,0,0.8
USC-SAIL,T8P2Z1M9O9,14_month,4,2,0,0.5
USC-SAIL,U6O5F2B7T5,14_month,3,0,0,1.0
USC-SAIL,V7D7K3H8B4,14_month,3,1,0,0.6667
USC-SAIL,V9X2Q7S1E1,14_month,1,0,0,1.0
USC-SAIL,W2E0Z9B7Z8,36_month,1,0,0,1.0
USC-SAIL,W3I4D2X4Z4,14_month,5,0,0,1.0
USC-SAIL,W3O7N1N8U2,14_month,2,0,0,1.0
USC-SAIL,W3P0N4W0X9,14_month,6,0,1,0.8333
USC-SAIL,W4O4B5W7K0,36_month,2,0,0,1.0
USC-SAIL,W7P7J6H1H6,14_month,2,1,1,0.0
USC-SAIL,W9K7Y8Y0V6,36_month,3,1,0,0.6667
USC-SAIL,W9S0D6Q7Z5,14_month,1,0,0,1.0
USC-SAIL,X1U1P0D1X3,14_month,3,0,0,1.0
USC-SAIL,X2N4R2N5V8,36_month,2,0,0,1.0
USC-SAIL,Y4W4H9A8X5,36_month,2,2,0,0.0
USC-SAIL,Y6Z4H0C5U2,14_month,2,0,0,1.0
USC-SAIL,Z1J6X4Y3Z4,14_month,3,2,0,0.3333
USC-SAIL,Z2E7T3I3H2,14_month,4,1,0,0.75
USC-SAIL,Z3H6O7C3O9,36_month,1,0,0,1.0
VTC,A1H3H9Y3T1,14_month,3,0,0,1.0
VTC,A2M5H0V6E3,14_month,3,0,0,1.0
VTC,A2P7X9N8L7,14_month,5,1,0,0.8
VTC,A3G3T7I1A5,14_month,4,0,1,0.75
VTC,A4E8K1L5Y2,36_month,3,0,0,1.0
VTC,A5X1S7S1E7,14_month,3,0,0,1.0
VTC,A6S0V1J3G6,14_month,1,0,0,1.0
VTC,A6Y4Y7X2G1,14_month,6,2,0,0.6667
VTC,A6Z2B3J2A9,14_month,2,0,0,1.0
VTC,A8P5O6Z7X6,14_month,1,1,0,0.0
VTC,B1L0B3F6F1,14_month,3,0,0,1.0
VTC,B1S3L8Q7Y6,14_month,17,1,2,0.8235
VTC,B2R3Q8L2Y3,14_month,4,0,0,1.0
VTC,B4Q3G8H2N3,14_month,8,0,4,0.5
VTC,B8I6G9P2G8,36_month,1,0,0,1.0
VTC,B9P5V1I5O5,14_month,2,1,0,0.5
VTC,C0O6X3N5Y7,14_month,10,1,2,0.7
VTC,C1G1X2G4C6,14_month,3,2,0,0.3333
VTC,C1I8N8L4Q4,36_month,2,1,0,0.5
VTC,C3A8Q4J6E5,14_month,1,0,0,1.0
VTC,C4C7T6W2I0,14_month,3,1,0,0.6667
VTC,C5L2D6N1W6,14_month,2,1,0,0.5
VTC,C5U1P3X9F0,14_month,8,0,0,1.0
VTC,D4Y7P4G2V4,14_month,5,0,0,1.0
VTC,D8G5K7I0D6,14_month,4,1,1,0.5
VTC,D8O8B2C4X2,14_month,3,0,0,1.0
VTC,D9N0U7M9X3,36_month,1,0,0,1.0
VTC,E2P5Q8S5A7,14_month,3,1,0,0.6667
VTC,E3O3H8O7H4,14_month,3,1,0,0.6667
VTC,E7G3N4A1K5,36_month,2,0,0,1.0
VTC,E7T7O3G7J5,14_month,3,0,0,1.0
VTC,E7Z4G3O5K2,14_month,4,0,1,0.75
VTC,F3N4H0K1Z1,14_month,12,1,0,0.9167
VTC,F6J0V8B6S4,36_month,1,1,0,0.0
VTC,F8N7H3T0O1,14_month,6,2,0,0.6667
VTC,F8V2U5P1A0,14_month,5,0,0,1.0
VTC,G2N1M4K2S0,14_month,1,0,0,1.0
VTC,G3A6S5R9F7,14_month,5,1,1,0.6
VTC,G3D3S2N7W8,14_month,2,1,1,0.0
VTC,G4J8F6F4X0,14_month,11,1,0,0.9091
VTC,G8Q8I6N0I3,14_month,2,0,1,0.5
VTC,H3B5L5F8T1,14_month,5,0,0,1.0
VTC,H7C3T0K5E5,14_month,4,0,2,0.5
VTC,I8T4E2J3M6,14_month,8,5,1,0.25
VTC,J3J0V4T8C3,14_month,12,0,2,0.8333
VTC,J4J6X7C4D9,14_month,5,0,1,0.8
VTC,K6I1Q4G2V4,14_month,2,0,0,1.0
VTC,K6O1J5K7Z0,14_month,7,0,0,1.0
VTC,L0B0Q5O3Q3,14_month,10,0,0,1.0
VTC,L0C6T6H2C6,14_month,3,0,0,1.0
VTC,L3F0P2N3D1,14_month,1,0,0,1.0
VTC,L4K0P3T4Q8,14_month,2,0,0,1.0
VTC,L4M1H7J7G3,14_month,8,0,0,1.0
VTC,L4M8P2T7S0,36_month,7,0,0,1.0
VTC,L5Q0Z1W8S2,14_month,1,0,0,1.0
VTC,L5V8G4A3K7,14_month,1,0,0,1.0
VTC,L6F2P7K8P1,14_month,5,0,1,0.8
VTC,L7Z6Q2U6Y6,36_month,2,0,0,1.0
VTC,M2N1C8G1C8,14_month,1,0,0,1.0
VTC,M4R4B8C7G8,36_month,1,0,0,1.0
VTC,M5F7G8S4F0,14_month,3,0,0,1.0
VTC,M5H7X4O2M2,14_month,3,0,0,1.0
VTC,M5O1K4W9O1,14_month,5,0,3,0.4
VTC,M5Y0K3C9L0,14_month,3,0,0,1.0
VTC,N2H7T0A7U5,36_month,1,1,0,0.0
VTC,N2Z6J3E5Q5,14_month,6,0,0,1.0
VTC,N3C7S2N8O0,14_month,5,0,0,1.0
VTC,N3L7A1I2B9,14_month,25,2,1,0.88
VTC,N5I9D3R2M1,14_month,4,0,0,1.0
VTC,N6O9P4J0Q2,14_month,1,0,0,1.0
VTC,O2U2C6W2S9,14_month,3,0,0,1.0
VTC,O5Q7I1O6N2,14_month,4,0,0,1.0
VTC,O6F1J9U1J2,14_month,4,1,0,0.75
VTC,O7X6W5O8E0,14_month,3,0,0,1.0
VTC,P3A4R4S2O3,14_month,2,0,0,1.0
VTC,Q9W9P7Z3J7,14_month,6,1,1,0.6667
VTC,R2C7W8X7N9,14_month,2,2,0,0.0
VTC,R4O0P4P3J4,14_month,3,0,0,1.0
VTC,R6R8Q6A7K0,14_month,8,1,0,0.875
VTC,S0M6Z7D5X7,14_month,3,0,0,1.0
VTC,S2C4T1Y7V7,14_month,6,0,0,1.0
VTC,S4C2W1M7Q0,36_month,4,0,0,1.0
VTC,S4O9O2E5Z0,14_month,4,0,0,1.0
VTC,S6T9X3C8Y2,14_month,2,2,0,0.0
VTC,S7F0B6H3A3,14_month,5,1,1,0.6
VTC,S7Y0I2P0S8,14_month,5,0,0,1.0
VTC,S9B3J7I4R1,14_month,6,0,1,0.8333
VTC,S9D2T7Y9B1,14_month,3,1,0,0.6667
VTC,T1G8F8W8Y8,14_month,4,0,0,1.0
VTC,T2H0J0N2Z5,14_month,5,1,0,0.8
VTC,T8P2Z1M9O9,14_month,4,1,0,0.75
VTC,U6O5F2B7T5,14_month,3,0,0,1.0
VTC,V7D7K3H8B4,14_month,3,1,0,0.6667
VTC,V9X2Q7S1E1,14_month,1,0,0,1.0
VTC,W2E0Z9B7Z8,36_month,1,0,0,1.0
VTC,W3I4D2X4Z4,14_month,5,0,0,1.0
VTC,W3O7N1N8U2,14_month,2,0,0,1.0
VTC,W3P0N4W0X9,14_month,6,0,1,0.8333
VTC,W4O4B5W7K0,36_month,2,0,0,1.0
VTC,W7P7J6H1H6,14_month,2,1,1,0.0
VTC,W9K7Y8Y0V6,36_month,3,0,0,1.0
VTC,W9S0D6Q7Z5,14_month,1,0,0,1.0
VTC,X1U1P0D1X3,14_month,3,0,0,1.0
VTC,X2N4R2N5V8,36_month,2,0,0,1.0
VTC,Y4W4H9A8X5,36_month,2,1,0,0.5
VTC,Y6Z4H0C5U2,14_month,2,0,0,1.0
VTC,Z1J6X4Y3Z4,14_month,3,2,0,0.3333
VTC,Z2E7T3I3H2,14_month,4,1,0,0.75
VTC,Z3H6O7C3O9,36_month,1,0,0,1.0
VTC-KCHI,A1H3H9Y3T1,14_month,3,0,0,1.0
VTC-KCHI,A2M5H0V6E3,14_month,3,0,0,1.0
VTC-KCHI,A2P7X9N8L7,14_month,5,1,0,0.8
VTC-KCHI,A3G3T7I1A5,14_month,4,0,1,0.75
VTC-KCHI,A4E8K1L5Y2,36_month,3,0,1,0.6667
