child_id,timepoint_norm,n_clips,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_n_fp,mean_n_fn
A1H3H9Y3T1,14_month,3,0.6969818181818181,0.23355746966509905,0.3333,1.0,0.5454545454545454,0.36363636363636365
V7D7K3H8B4,14_month,3,0.697,0.10049373114776862,0.6667,1.0,0.8181818181818182,0.09090909090909091
R6R8Q6A7K0,14_month,8,0.7159090909090909,0.1775784077783414,0.375,1.0,1.5454545454545454,0.7272727272727273
S7F0B6H3A3,14_month,5,0.7272727272727273,0.18488325554743507,0.4,1.0,0.7272727272727273,0.6363636363636364
C0O6X3N5Y7,14_month,10,0.7272727272727273,0.16180796699117814,0.3,0.9,0.9090909090909091,1.8181818181818181
D4Y7P4G2V4,14_month,5,0.7272727272727273,0.18488325554743507,0.4,1.0,0.45454545454545453,0.9090909090909091
A2P7X9N8L7,14_month,5,0.7272727272727273,0.24120907566221095,0.0,0.8,1.0,0.36363636363636365
E7T7O3G7J5,14_month,3,0.7272909090909091,0.29128347174031505,0.0,1.0,0.6363636363636364,0.18181818181818182
C4C7T6W2I0,14_month,3,0.7273,0.13482648849539916,0.6667,1.0,0.7272727272727273,0.09090909090909091
G4J8F6F4X0,14_month,11,0.7355636363636364,0.17463470601645753,0.5455,1.0,2.3636363636363638,0.5454545454545454
S9B3J7I4R1,14_month,6,0.742409090909091,0.20223598816504176,0.1667,0.8333,0.09090909090909091,1.4545454545454546
B1S3L8Q7Y6,14_month,17,0.743309090909091,0.14233809366817762,0.3529,0.8824,1.9090909090909092,2.4545454545454546
L6F2P7K8P1,14_month,5,0.7454545454545454,0.28412545244534626,0.0,1.0,0.0,1.2727272727272727
T2H0J0N2Z5,14_month,5,0.7454545454545456,0.18090680674665818,0.4,1.0,0.8181818181818182,0.45454545454545453
S2C4T1Y7V7,14_month,6,0.7575818181818181,0.15568519401781158,0.5,1.0,1.0909090909090908,0.36363636363636365
W9K7Y8Y0V6,36_month,3,0.757590909090909,0.21555472369932172,0.3333,1.0,0.5454545454545454,0.18181818181818182
H3B5L5F8T1,14_month,5,0.7636363636363637,0.1747725795010606,0.4,1.0,0.2727272727272727,0.9090909090909091
J3J0V4T8C3,14_month,12,0.7727181818181819,0.20779141858210515,0.1667,0.9167,0.5454545454545454,2.1818181818181817
O6F1J9U1J2,14_month,4,0.7727272727272727,0.13483997249264842,0.5,1.0,0.7272727272727273,0.18181818181818182
J4J6X7C4D9,14_month,5,0.7818181818181817,0.1401298099490742,0.6,1.0,0.0,1.0909090909090908
C5U1P3X9F0,14_month,8,0.7840909090909091,0.262743393654514,0.125,1.0,0.0,1.7272727272727273
N3L7A1I2B9,14_month,25,0.7890909090909091,0.14320995394556524,0.4,0.92,2.909090909090909,2.3636363636363638
R4O0P4P3J4,14_month,3,0.8181727272727273,0.31141514764349243,0.3333,1.0,0.0,0.5454545454545454
S4O9O2E5Z0,14_month,4,0.8181818181818182,0.16166744767071584,0.5,1.0,0.5454545454545454,0.18181818181818182
W3P0N4W0X9,14_month,6,0.8181818181818182,0.13851886382859066,0.6667,1.0,0.0,1.0909090909090908
A3G3T7I1A5,14_month,4,0.8181818181818182,0.29771859806932394,0.0,1.0,0.0,0.7272727272727273
C3A8Q4J6E5,14_month,1,0.8181818181818182,0.40451991747794525,0.0,1.0,0.0,0.18181818181818182
G8Q8I6N0I3,14_month,2,0.8181818181818182,0.2522624895547565,0.5,1.0,0.0,0.36363636363636365
N3C7S2N8O0,14_month,5,0.8363636363636363,0.2500908925679913,0.2,1.0,0.45454545454545453,0.36363636363636365
F8V2U5P1A0,14_month,5,0.8363636363636364,0.12060453783110547,0.6,1.0,0.6363636363636364,0.18181818181818182
L0B0Q5O3Q3,14_month,10,0.8454545454545456,0.2018099916438052,0.3,1.0,0.7272727272727273,0.8181818181818182
X1U1P0D1X3,14_month,3,0.8484909090909092,0.31139568543750074,0.0,1.0,0.0,0.45454545454545453
U6O5F2B7T5,14_month,3,0.8484909090909092,0.31139568543750074,0.0,1.0,0.0,0.45454545454545453
A4E8K1L5Y2,36_month,3,0.8484909090909092,0.31139568543750074,0.0,1.0,0.0,0.45454545454545453
F3N4H0K1Z1,14_month,12,0.8484999999999999,0.1482238307425631,0.4167,0.9167,0.8181818181818182,1.0
K6I1Q4G2V4,14_month,2,0.8636363636363636,0.23354968324845687,0.5,1.0,0.2727272727272727,0.0
Y6Z4H0C5U2,14_month,2,0.8636363636363636,0.3233348953414316,0.0,1.0,0.0,0.2727272727272727
P3A4R4S2O3,14_month,2,0.8636363636363636,0.3233348953414316,0.0,1.0,0.0,0.2727272727272727
L4M8P2T7S0,36_month,7,0.8701,0.07705430552538903,0.7143,1.0,0.45454545454545453,0.45454545454545453
B1L0B3F6F1,14_month,3,0.8787909090909092,0.3081364647507511,0.0,1.0,0.0,0.36363636363636365
N2Z6J3E5Q5,14_month,6,0.8787909090909092,0.22473508606599663,0.3333,1.0,0.0,0.7272727272727273
O2U2C6W2S9,14_month,3,0.8787909090909092,0.3081364647507511,0.0,1.0,0.0,0.36363636363636365
O7X6W5O8E0,14_month,3,0.8787909090909092,0.3081364647507511,0.0,1.0,0.0,0.36363636363636365
S0M6Z7D5X7,14_month,3,0.8788,0.1681581755372007,0.6667,1.0,0.2727272727272727,0.09090909090909091
M5Y0K3C9L0,14_month,3,0.8788,0.16815817553720072,0.6667,1.0,0.2727272727272727,0.09090909090909091
K6O1J5K7Z0,14_month,7,0.883109090909091,0.2984195853309412,0.0,1.0,0.0,0.8181818181818182
W3O7N1N8U2,14_month,2,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.18181818181818182
W9S0D6Q7Z5,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
X2N4R2N5V8,36_month,2,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.18181818181818182
L4K0P3T4Q8,14_month,2,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.18181818181818182
L4M1H7J7G3,14_month,8,0.9090909090909091,0.22424114454999314,0.25,1.0,0.0,0.7272727272727273
W4O4B5W7K0,36_month,2,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.18181818181818182
G2N1M4K2S0,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
B2R3Q8L2Y3,14_month,4,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.36363636363636365
A2M5H0V6E3,14_month,3,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.2727272727272727
A6Z2B3J2A9,14_month,2,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.18181818181818182
D9N0U7M9X3,36_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
L3F0P2N3D1,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
L5Q0Z1W8S2,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
M2N1C8G1C8,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
N6O9P4J0Q2,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
V9X2Q7S1E1,14_month,1,0.9090909090909091,0.30151134457776363,0.0,1.0,0.0,0.09090909090909091
N5I9D3R2M1,14_month,4,0.9090909090909091,0.12613124477737825,0.75,1.0,0.0,0.36363636363636365
W3I4D2X4Z4,14_month,5,0.9272727272727272,0.24120907566221095,0.2,1.0,0.0,0.36363636363636365
T1G8F8W8Y8,14_month,4,0.9318181818181818,0.22613350843332275,0.25,1.0,0.0,0.2727272727272727
L0C6T6H2C6,14_month,3,0.939390909090909,0.20101761342999502,0.3333,1.0,0.0,0.18181818181818182
M5F7G8S4F0,14_month,3,0.939390909090909,0.20101761342999502,0.3333,1.0,0.0,0.18181818181818182
L7Z6Q2U6Y6,36_month,2,0.9545454545454546,0.15075567228888181,0.5,1.0,0.0,0.09090909090909091
O5Q7I1O6N2,14_month,4,0.9545454545454546,0.15075567228888181,0.5,1.0,0.0,0.18181818181818182
S7Y0I2P0S8,14_month,5,0.9636363636363636,0.08090398349558905,0.8,1.0,0.0,0.18181818181818182
A5X1S7S1E7,14_month,3,0.9697,0.10049373114776865,0.6667,1.0,0.0,0.09090909090909091
D8O8B2C4X2,14_month,3,0.9697,0.10049373114776865,0.6667,1.0,0.0,0.09090909090909091
W2E0Z9B7Z8,36_month,1,1.0,0.0,1.0,1.0,0.0,0.0
