File                           DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
ew_42ec_12008                47.08  49.02            0.55         0.46     0.50             0.21             0.25          1.11          1.51  0.34   0.21
ew_42ec_12011                62.98  54.42            0.47         0.45     0.46             0.17             0.21          1.28          1.46  0.30   0.18
ew_42ec_12014                61.49  54.84            0.48         0.45     0.47             0.17             0.20          1.26          1.44  0.28   0.17
ew_42ec_12015                52.98  49.92            0.49         0.44     0.47             0.19             0.24          1.24          1.50  0.33   0.20
ew_42ec_12029                48.39  47.27            0.53         0.49     0.51             0.22             0.26          1.16          1.35  0.36   0.22
ew_42ec_12033                34.63  39.28            0.58         0.50     0.53             0.27             0.33          1.08          1.43  0.43   0.25
ew_42ec_12037                41.85  44.94            0.54         0.49     0.52             0.25             0.28          1.14          1.37  0.38   0.23
ew_42ec_12050                50.58  48.13            0.51         0.45     0.48             0.21             0.25          1.22          1.51  0.34   0.20
ew_42ec_12056                66.34  76.98            0.57         0.55     0.56             0.12             0.13          1.00          1.12  0.12   0.10
ew_42ec_12061                66.51  56.55            0.47         0.47     0.47             0.17             0.19          1.29          1.37  0.27   0.17
ew_42ec_12095                56.10  51.96            0.48         0.44     0.46             0.17             0.21          1.27          1.41  0.30   0.19
ew_42ec_21092                51.68  47.27            0.50         0.48     0.49             0.23             0.24          1.21          1.36  0.35   0.22
ew_42ec_21097                41.54  44.23            0.54         0.52     0.53             0.26             0.28          1.14          1.21  0.38   0.25
ew_42ec_21121                39.68  42.55            0.55         0.51     0.53             0.29             0.32          1.11          1.29  0.46   0.28
ew_42ec_21135                52.14  49.99            0.52         0.48     0.50             0.20             0.24          1.19          1.37  0.33   0.21
ew_42ec_21189                35.82  40.24            0.55         0.52     0.53             0.28             0.31          1.13          1.30  0.42   0.26
ew_42ec_21191                38.87  42.03            0.55         0.50     0.52             0.27             0.31          1.14          1.34  0.42   0.25
ew_42ec_22089                59.82  56.08            0.46         0.41     0.43             0.14             0.17          1.34          1.60  0.23   0.13
ew_42ec_22101                36.23  40.21            0.56         0.52     0.53             0.29             0.33          1.11          1.33  0.45   0.27
ew_42ec_22103                67.84  56.89            0.48         0.47     0.48             0.18             0.20          1.28          1.41  0.28   0.17
ew_42ec_22108                73.92  62.11            0.53         0.60     0.56             0.16             0.13          1.06          1.05  0.21   0.17
ew_42ec_22109                66.96  58.69            0.46         0.44     0.45             0.13             0.17          1.31          1.44  0.23   0.14
ew_42ec_22113                55.87  52.79            0.49         0.46     0.48             0.18             0.22          1.24          1.37  0.30   0.18
ew_42ec_22118                69.21  61.48            0.44         0.45     0.44             0.13             0.15          1.38          1.49  0.21   0.13
ew_42ec_22120                47.91  46.10            0.52         0.46     0.49             0.22             0.27          1.19          1.42  0.37   0.22
ew_42ec_22128                59.02  62.23            0.54         0.48     0.51             0.15             0.17          1.10          1.35  0.19   0.14
ew_42ec_22148                78.56  64.91            0.45         0.48     0.47             0.11             0.13          1.32          1.35  0.18   0.12
ew_42ec_22180                48.73  52.41            0.50         0.48     0.49             0.19             0.22          1.24          1.44  0.28   0.17
ew_42pc_11013                57.61  53.46            0.48         0.44     0.46             0.16             0.20          1.29          1.45  0.27   0.17
ew_42pc_11023                67.96  60.12            0.47         0.51     0.49             0.16             0.17          1.29          1.29  0.24   0.16
ew_42pc_11053                46.48  46.43            0.53         0.48     0.51             0.23             0.28          1.17          1.36  0.38   0.23
ew_42pc_11055                39.43  41.50            0.55         0.50     0.52             0.27             0.31          1.13          1.35  0.42   0.25
ew_42pc_11057                63.21  58.27            0.50         0.48     0.49             0.13             0.15          1.20          1.30  0.20   0.14
ew_42pc_12003                51.83  52.54            0.48         0.43     0.45             0.16             0.20          1.28          1.50  0.26   0.16
ew_42pc_12007                45.41  47.41            0.51         0.44     0.47             0.21             0.26          1.22          1.55  0.35   0.20
ew_42pc_12011                48.15  48.35            0.52         0.51     0.51             0.24             0.27          1.20          1.29  0.37   0.23
ew_42pc_12014                48.67  47.00            0.50         0.46     0.48             0.21             0.24          1.23          1.50  0.34   0.20
ew_42pc_12029                48.71  49.10            0.53         0.47     0.50             0.19             0.23          1.18          1.37  0.30   0.19
ew_42pc_12033                37.42  40.42            0.56         0.51     0.54             0.28             0.32          1.10          1.37  0.44   0.26
ew_42pc_12056                63.55  58.20            0.45         0.45     0.45             0.14             0.17          1.34          1.40  0.23   0.14
ew_42pc_12071                59.10  53.88            0.49         0.47     0.48             0.19             0.22          1.26          1.41  0.31   0.19
ew_42pc_12077                39.92  42.74            0.56         0.52     0.54             0.28             0.32          1.11          1.27  0.44   0.27
ew_42pc_12095                47.80  47.79            0.55         0.51     0.53             0.25             0.28          1.11          1.26  0.39   0.25
ew_42pc_21097                44.08  45.51            0.53         0.50     0.51             0.25             0.28          1.18          1.27  0.38   0.24
ew_42pc_21121                51.05  50.79            0.50         0.44     0.47             0.18             0.22          1.24          1.52  0.31   0.18
ew_42pc_21135                44.38  46.48            0.52         0.47     0.50             0.22             0.25          1.19          1.45  0.34   0.20
ew_42pc_21189                35.00  39.25            0.57         0.53     0.55             0.31             0.34          1.08          1.26  0.46   0.28
ew_42pc_22103                63.77  57.97            0.45         0.42     0.44             0.13             0.16          1.34          1.53  0.22   0.13
ew_42pc_22108                48.85  48.88            0.51         0.46     0.49             0.21             0.25          1.21          1.41  0.34   0.21
ew_42pc_22113                48.60  47.26            0.52         0.50     0.51             0.25             0.27          1.20          1.29  0.39   0.24
ew_42pc_22118                59.44  57.63            0.50         0.51     0.51             0.18             0.20          1.22          1.23  0.26   0.18
ew_42pc_22120                50.99  48.92            0.51         0.50     0.50             0.23             0.27          1.21          1.26  0.37   0.23
ew_42pc_22128                88.88  76.38            0.39         0.58     0.47             0.09             0.07          1.46          1.14  0.10   0.07
ew_42pc_22148                53.35  56.25            0.48         0.46     0.47             0.15             0.18          1.29          1.46  0.23   0.14
ew_42pc_22180                47.97  46.67            0.54         0.48     0.51             0.23             0.28          1.14          1.41  0.39   0.24
ew_54ec_11006                50.57  48.40            0.51         0.47     0.49             0.22             0.25          1.21          1.44  0.34   0.21
ew_54ec_11013                60.44  56.83            0.46         0.44     0.45             0.15             0.19          1.32          1.51  0.26   0.16
ew_54ec_11023                57.86  54.04            0.55         0.54     0.54             0.18             0.19          1.06          1.12  0.25   0.19
ew_54ec_11051                51.49  48.75            0.55         0.56     0.55             0.28             0.29          1.11          1.16  0.40   0.26
ew_54ec_12007                58.18  55.50            0.47         0.41     0.44             0.16             0.20          1.30          1.61  0.28   0.16
ew_54ec_12008                39.60  42.50            0.57         0.50     0.53             0.27             0.32          1.08          1.38  0.45   0.27
ew_54ec_12014                71.55  62.01            0.45         0.49     0.47             0.14             0.16          1.35          1.31  0.22   0.14
ew_54ec_12015                43.65  43.53            0.54         0.49     0.51             0.25             0.30          1.15          1.36  0.42   0.25
ew_54ec_12029                57.20  50.92            0.53         0.56     0.54             0.26             0.28          1.16          1.13  0.40   0.26
ew_54ec_12077                54.87  54.53            0.48         0.44     0.46             0.16             0.19          1.29          1.49  0.26   0.16
ew_54ec_21160                50.13  49.60            0.54         0.49     0.52             0.25             0.29          1.15          1.38  0.39   0.24
ew_54ec_21189                42.00  40.37            0.56         0.52     0.54             0.30             0.33          1.09          1.29  0.48   0.29
ew_54ec_22103                58.65  64.21            0.51         0.55     0.53             0.21             0.20          1.21          1.20  0.23   0.16
ew_54ec_22104                39.54  40.48            0.57         0.53     0.55             0.31             0.35          1.09          1.27  0.49   0.29
ew_54ec_22118                58.86  51.25            0.53         0.50     0.52             0.24             0.27          1.15          1.32  0.37   0.23
ew_54ec_22120                65.01  56.41            0.47         0.50     0.48             0.17             0.20          1.29          1.24  0.29   0.19
ew_54ec_22128                54.38  52.35            0.55         0.47     0.51             0.16             0.21          1.11          1.34  0.28   0.19
ew_54ec_22140                47.03  45.47            0.52         0.47     0.50             0.23             0.27          1.18          1.43  0.38   0.23
ew_54ec_22148                47.28  46.68            0.55         0.54     0.55             0.27             0.30          1.11          1.19  0.41   0.26
gleason_father_andy          49.37  49.77            0.51         0.46     0.48             0.20             0.22          1.22          1.39  0.30   0.19
gleason_father_bobby         58.44  57.89            0.48         0.48     0.48             0.17             0.19          1.28          1.32  0.24   0.16
gleason_father_david         93.55  65.26            0.42         0.40     0.41             0.09             0.12          1.40          1.53  0.17   0.11
gleason_father_eddie         42.18  46.59            0.55         0.51     0.53             0.26             0.29          1.12          1.32  0.39   0.24
gleason_father_frank         69.39  59.32            0.47         0.50     0.48             0.15             0.18          1.28          1.28  0.26   0.17
gleason_father_guy           49.16  51.67            0.54         0.53     0.53             0.21             0.23          1.13          1.17  0.30   0.21
gleason_father_helen         40.60  42.61            0.54         0.50     0.52             0.27             0.31          1.14          1.37  0.43   0.26
gleason_father_isadora       37.86  44.00            0.56         0.50     0.53             0.25             0.29          1.11          1.37  0.38   0.24
gleason_father_john          58.83  54.25            0.49         0.46     0.48             0.18             0.20          1.26          1.41  0.27   0.17
gleason_father_katie         52.81  51.78            0.49         0.46     0.48             0.20             0.22          1.26          1.39  0.31   0.19
gleason_father_laurel        45.32  47.02            0.53         0.52     0.53             0.26             0.28          1.16          1.29  0.38   0.24
gleason_father_olivia        51.10  49.04            0.51         0.48     0.50             0.22             0.26          1.21          1.36  0.36   0.22
gleason_father_susan         40.84  44.22            0.56         0.52     0.54             0.27             0.30          1.11          1.26  0.40   0.25
gleason_father_theresa       51.90  52.14            0.48         0.44     0.46             0.18             0.21          1.29          1.49  0.28   0.17
gleason_father_ursula        30.01  37.47            0.59         0.52     0.55             0.30             0.36          1.05          1.37  0.48   0.28
gleason_mother_andy          57.38  54.86            0.50         0.48     0.49             0.18             0.21          1.23          1.34  0.29   0.18
gleason_mother_charlie       45.43  50.00            0.54         0.47     0.51             0.19             0.22          1.13          1.40  0.29   0.19
gleason_mother_david         38.28  43.70            0.55         0.51     0.53             0.25             0.29          1.13          1.41  0.38   0.23
gleason_mother_frank         53.64  50.48            0.50         0.47     0.49             0.20             0.24          1.23          1.41  0.33   0.20
gleason_mother_helen         32.97  38.87            0.58         0.53     0.55             0.30             0.34          1.05          1.31  0.47   0.28
gleason_mother_isadora       31.51  39.59            0.59         0.55     0.57             0.29             0.33          1.03          1.28  0.43   0.27
vh_brownf                    49.84  47.76            0.51         0.46     0.49             0.21             0.25          1.21          1.40  0.35   0.21
vh_cherryf                   45.49  49.06            0.51         0.44     0.47             0.20             0.24          1.20          1.55  0.33   0.19
vh_cottonf                   62.84  56.93            0.48         0.42     0.45             0.13             0.16          1.26          1.56  0.22   0.13
vh_cullenf                   53.17  52.82            0.46         0.39     0.42             0.14             0.17          1.32          1.73  0.23   0.13
vh_eastf                     45.36  46.24            0.51         0.45     0.48             0.21             0.27          1.21          1.52  0.37   0.21
vh_gardnerf                  59.26  51.27            0.48         0.44     0.46             0.18             0.23          1.27          1.48  0.32   0.19
vh_huntf                     66.59  55.14            0.45         0.39     0.42             0.14             0.16          1.33          1.72  0.23   0.13
vh_johnsonf                  57.63  53.68            0.47         0.41     0.44             0.16             0.20          1.31          1.59  0.27   0.16
vh_lundf                     65.38  59.26            0.42         0.41     0.41             0.10             0.12          1.41          1.63  0.16   0.10
vh_marshf                    51.76  50.27            0.49         0.41     0.45             0.17             0.23          1.26          1.60  0.31   0.18
vh_mcintyref                 62.36  60.27            0.46         0.41     0.44             0.10             0.13          1.32          1.56  0.17   0.11
vh_nipf                      53.60  50.00            0.49         0.42     0.46             0.18             0.23          1.25          1.59  0.32   0.18
vh_pricef                    68.66  63.75            0.43         0.42     0.42             0.10             0.12          1.39          1.54  0.15   0.10
vh_raidf                     53.44  52.80            0.50         0.44     0.47             0.16             0.20          1.24          1.46  0.26   0.16
vh_riotf                     55.78  52.01            0.47         0.42     0.44             0.14             0.18          1.30          1.61  0.25   0.15
vh_royalf                    54.61  53.13            0.46         0.40     0.42             0.14             0.17          1.33          1.64  0.23   0.13
vh_saintf                    62.64  56.33            0.50         0.39     0.44             0.13             0.18          1.23          1.67  0.24   0.14
vh_skipf                     62.09  55.01            0.46         0.41     0.44             0.16             0.19          1.32          1.59  0.27   0.15
vh_smartf                    67.22  58.40            0.44         0.38     0.41             0.09             0.12          1.35          1.71  0.17   0.10
vh_smithf                    66.53  60.45            0.43         0.41     0.42             0.13             0.15          1.38          1.56  0.20   0.12
vh_vailf                     80.21  58.80            0.44         0.39     0.41             0.13             0.15          1.34          1.70  0.23   0.13
*** OVERALL ***              51.44  50.92            0.52         0.48     0.50             0.48             0.51          1.19          1.37  7.39   0.85
