filename,audio_duration_sec,vtc_sec,babar_sec,n_utterances
alex_020523__8afe8499372268b65168601dfc43aad6.wav,3350.35,1.64,10.35,549.0
alex_020606__f58af3a67da9523fb78de7caabd5a5b3.wav,3455.75,1.69,11.63,614.0
alex_020620__56099dc3fa727cd3166d991d522f7f73.wav,3346.55,1.63,12.65,677.0
alex_020705__a071c24f66ef7fca03d689ff489e6134.wav,3182.25,1.55,11.53,616.0
alex_020724__0b5fb8a22dfbdfa53b4e305e0b9f2257.wav,3497.35,1.71,12.65,675.0
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,3356.63,1.64,11.28,597.0
alex_020816__8b16306de85ca1081fc14270e6b6cdb1.wav,3229.64,1.58,10.79,575.0
alex_020828__f837424cf9bf118696c18527e2802995.wav,3384.04,1.65,8.98,473.0
alex_020913__5016b12431807a5363682db010496c38.wav,3437.11,1.68,11.1,590.0
alex_020926__80601263ee186bd15e068cfd6c7773f1.wav,3571.46,1.74,13.9,735.0
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,3406.64,1.66,10.54,544.0
alex_021025__b35f0b3568b21e545fac85b6136063ea.wav,3591.3,1.75,9.32,490.0
alex_021108__ecfd6740767fd2cf2664fa7c47f6a4c6.wav,3847.05,1.88,13.27,704.0
alex_021122__198cadebbcbbdbf216c07e8ecde24291.wav,3792.96,1.85,9.26,481.0
alex_030006__b45f91fe0b20bc7be03fce85f7097d8e.wav,3573.78,1.75,14.24,757.0
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,3508.28,1.71,10.49,545.0
alex_030119__7ebc2dd5be7abcc6e052f8c7afdeab2d.wav,4080.33,1.99,15.31,809.0
alex_030200__1b44149fe2934856872da2ad51bf21fc.wav,3593.17,1.76,12.97,685.0
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,3113.85,1.52,9.19,484.0
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,3771.91,1.84,13.55,715.0
alex_030313__79c6b50c897da5005a30c0a16e0bce04.wav,3622.07,1.77,8.96,472.0
alex_030327__c177f56069a5e149019b01c98993b797.wav,3018.79,1.47,12.7,669.0
alex_030410__f91ab1672814f5243fc52442f46bf221.wav,3816.5,1.86,12.84,679.0
alex_030424__7b269893bbbd89123f4cf03dbe3f24a9.wav,3588.14,1.75,11.39,595.0
alex_030516__00fc3a6fc91d6024fad2563c31acfff8.wav,3948.12,1.93,16.63,886.0
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2749.09,13.17,1.12,28.0
cameron_AAE_B3_31_47_PE_S22__15b576cf2c2efc5854a50c9142519554.wav,2359.14,11.31,0.93,42.0
cameron_AAE_B3_32_47_PE_S22__8a9944d890daeb4e919e9940f7320527.wav,2196.69,10.53,0.9,39.0
cameron_AAE_B5_35_58_PE_O22__6d422f2b17dbf8730bb6ee943d86e8b8.wav,3611.88,17.31,2.8,146.0
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,3190.0,15.29,3.72,201.0
cameron_AAE_B7_49_48_PE_N22__a42afcff631bc7d760f5c939d2309e57.wav,2430.26,11.65,0.72,30.0
cameron_AAE_B7_51_54_PE_N22__d5433f00a4ab7b048015a3341021b404.wav,2777.31,13.31,0.44,14.0
cameron_AAE_B7_53_53_PE_N22__b612f159ec5035b3a1393daa9d036e6a.wav,2212.23,10.6,0.44,14.0
cameron_AAE_B7_56_49_PE_N22__3314bf1f2ca0f8cf316096b352965bbb.wav,3484.37,16.7,0.45,13.0
cameron_AAE_B7_57_49_PE_N22__78bf279b32c97e2ca4a155b2269128c2.wav,2382.94,11.42,0.78,33.0
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,2764.2,13.25,1.92,98.0
cameron_AAE_B7_63_57_PE_N22__54b8b43e61837125657e5238d968ea33.wav,2534.31,12.14,0.38,11.0
cameron_AAE_B7_66_56_PE_N22__abc95dcba180af90a30d24d22d91fe9d.wav,1943.69,9.31,0.39,11.0
cameron_AAE_B7_67_51_PE_N22__3a97abb9cddaaa7dd162f6e064e17260.wav,2259.6,10.83,0.65,26.0
cameron_AAE_B7_68_54_PE_N22__9d07f2292e4a8a02df50aa9f0db0909b.wav,2125.3,10.18,0.66,25.0
cameron_SAE_B1_14_54_PE_O22__db22385f522f1fff5d141f31b64827ce.wav,2400.57,11.5,0.44,14.0
cameron_SAE_B1_17_55_PE_O22__6b3921b48e22dfe24f34a2179484c2b1.wav,2603.4,12.48,0.87,36.0
cameron_SAE_B1_29_51_PE_O22__d42432aa42b3dc02ce6e410ef98882d6.wav,2792.73,13.38,1.04,45.0
cameron_SAE_B1_36_54_PE_O22__2fb17469c61087630a1950633bddc355.wav,2304.08,11.04,0.66,26.0
cameron_SAE_B2_10_55_PE_A22__135f66cd20ee70b4f5266e0d52eacdfd.wav,2864.26,13.73,1.61,80.0
cameron_SAE_B2_19_49_PE_S22__18091cf1c56ea13f7b0d452c26f62c1e.wav,2738.04,13.12,0.7,28.0
cameron_SAE_B3_21_49_PE_A22__6293c628fbaad10212dffb2e0ad30461.wav,2301.79,11.03,1.31,61.0
cameron_SAE_B3_22_66_PE_A22__6b9825c560eb306a7f6eb351fdb71e12.wav,3092.77,14.82,1.41,68.0
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,2371.71,11.37,1.51,74.0
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,1976.89,9.47,1.95,98.0
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,2226.79,10.67,1.13,53.0
cameron_SAE_B6_47_57_PE_O22__f89e3aebbed1c3377c727c0d272aac4c.wav,1984.24,9.51,0.83,34.0
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,2235.13,10.71,0.64,25.0
cameron_SAE_B7_65_58_PE_N22__41ec9b3cc957812cd208579bee290a6b.wav,2269.01,10.87,0.53,19.0
default_14_18mo_42_000000__463faa12babdc95551d8eb45c8e2b844.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000001__9b8ec13364602ce6a9dcae310cca953d.wav,30.0,0.24,0.63,1.0
default_14_18mo_42_000002__fe63811f8abf1d5aad042425dcdcb18d.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000003__1f462848a4f82726ed0d982ee28a9db4.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000004__3976d58b404263d48f9411de66a82669.wav,30.0,0.24,,
default_14_18mo_42_000005__fec3b45ed5b925e75958ed83aa31672c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000006__f694f482b9d584b87c11d8007f93cfcd.wav,30.0,0.24,0.25,4.0
default_14_18mo_42_000007__f49aceb5eb8df98c347134562af0cb82.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000008__076c63ddcd679ad30c9295adcdf18f44.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000009__67de15a73602a9d629d5410532593a26.wav,30.0,0.24,,
default_14_18mo_42_000010__bd91e3aa658704aadfcfd10dc8ff91a4.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000011__c1a807cee526dbaecc6ea6468b9ff3bb.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_000012__fb63c5db86dd80b16fb4d9e5b1998d56.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000013__8e28ef48a4eab7dd32b8ca79a23a8326.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000014__d1de1269736341d0f8a5e11fb7063af5.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000015__fd8ca60d64957eee9948d9174f9a6d2a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000017__228f26549cf0cd3058e55f5cf0aded9a.wav,30.0,0.24,0.23,2.0
default_14_18mo_42_000018__a77dd3a8d26505a6ef7a7529372f8ac2.wav,30.0,0.24,0.22,1.0
default_14_18mo_42_000019__4a19a771faff16cd6c1efb601a89ee57.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000020__a7e89971725252892d5fa6a6ae27b95a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000021__c4af56168dccbae0927df878480bce79.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_000022__e9d8086802395864b06b4e76faa27414.wav,30.0,0.24,,
default_14_18mo_42_000023__513b76bf511500192bcf0fab4b4150a1.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000024__0722d0ed1faee79f0d3a364f6536a823.wav,30.0,0.24,,
default_14_18mo_42_000025__b572f96500ff5ebb834857a8579005ad.wav,30.0,0.24,0.25,3.0
default_14_18mo_42_000026__c67f9f5b9707d7fc208339d3871dae32.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_000027__606e4f1ab6db188ec9b14da8350b3f79.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000028__afa211511198b6687ec060101dc748f2.wav,30.0,0.24,0.25,3.0
default_14_18mo_42_000029__933293a13ecf543ac91d6b83ec18a74d.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_000030__c0e5eda45c71c03bc615a3c98cf014bd.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000031__20162f6cdda41e5473c02fb449b498b1.wav,30.0,0.24,0.23,2.0
default_14_18mo_42_000032__7cd7f7ddd9a59f0288fca75e4d4962d9.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000033__3443f630f1531de0edabd010ec5e9638.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000034__0ceecfe42236637040d04d0d90a23f4f.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000035__5bf3c4e515dd3829a392560979e96c23.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_000036__e64277b900ae549ea78e0b4d6df2a761.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000037__6f5ab62efab08ddc48e81287424d4cce.wav,30.0,0.24,,
default_14_18mo_42_000038__d958f2fa6690ededdda31977222f708c.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000039__7868fd5e042754a479e4a4ce58d72fa8.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000040__5cc26efb32cf167ed2f4c2991efd4b3c.wav,30.0,0.24,,
default_14_18mo_42_000042__2682d30fb6217935fb2b5203ae9fa7cd.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000043__ada5a367c7c58c879adb62f0212a837d.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_000044__9b6de83dd39709dd18c9272adc9ef6f0.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000045__e98e113a9560ad262126e279ba744e2c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000046__c5fd50006457428ffd78c554bf03dae4.wav,30.0,0.24,0.24,3.0
default_14_18mo_42_000047__e93c216db342fe2a9c65a529fa3fe903.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000048__3bc6d478c4bc67f54caea7ff26203411.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000049__25a7cea29840b7ef241f23b0e0708da9.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_000050__abb5c9f28197f6a87fe7f9cec7114492.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_000051__0d03ed4c2584f588fc1bde7ac4fad316.wav,30.0,0.24,,
default_14_18mo_42_000052__fc5050ed5536325935904af10e4fcbe7.wav,30.0,0.24,0.28,6.0
default_14_18mo_42_000053__9dd223026dadc32d8f1a92e09adf76df.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000055__e74d918e88571e63fe02b0bc44ffe2ba.wav,30.0,0.24,0.22,1.0
default_14_18mo_42_000056__cef29b0976243e820be23d649e7bf273.wav,30.0,0.24,,
default_14_18mo_42_000057__7ee003e449d437a92a5dfb7076a6db00.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000058__6f756cbe65b91b0c684e55baebbfd22f.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000059__bada8b37d54bec4658f64477202d8893.wav,30.0,0.24,,
default_14_18mo_42_000060__d44c34345b6733213a955ca3f2189589.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000061__d71459f07b2c74851f817e82089fd5ad.wav,30.0,0.24,0.25,2.0
default_14_18mo_42_000062__9ed573a6181c46f51b11c0d91923e96f.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000063__d9fa251e4e93454ee47cea5ad73f5bf1.wav,30.0,0.24,0.23,2.0
default_14_18mo_42_000064__3b0cddff4d3087b31990df49f94f9f17.wav,30.0,0.24,,
default_14_18mo_42_000065__797222a06741e5ec4906e388d31d51fa.wav,30.0,0.24,0.26,2.0
default_14_18mo_42_000066__adcc2b16f4bd50503a05de2e64ab77fd.wav,30.0,0.24,0.25,2.0
default_14_18mo_42_000067__29b9d8e8cf96a51a54ea7be98b6a86f7.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000068__5b6fad6535e6b59b50143ee344890528.wav,30.0,0.24,,
default_14_18mo_42_000069__dfca2370ac0512bfbd02ee2e72a3c0ed.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_000070__e283e26354ce080a000263fc4c3d7ca0.wav,30.0,0.24,0.25,3.0
default_14_18mo_42_000071__99caa7c9d2544033eb78f5271a8c634f.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_000072__8b3d4778ffec8238e29652667141377f.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000073__698ec2f8432862c4dc5e8c61ee5d428c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000074__b1122bd3af8fa7ae392584c53616a0fa.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000075__c08b635698ee51f01cb9d086af7c64b2.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000076__ca5d3781987c11f5359d3608d295292c.wav,30.0,0.24,,
default_14_18mo_42_000077__c79a80327a352afd36595e30c23d3518.wav,30.0,0.24,,
default_14_18mo_42_000078__803fde255f66d9694878058797919dc6.wav,30.0,0.24,0.23,2.0
default_14_18mo_42_000079__6ca6bd5a8868e5a8e43f40d23235e756.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000080__8c118147dd2834caa2eb87b932a28c48.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_000081__dd5a38c0a979f71bf78f080224d075f6.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000082__4a44d3c72bbd1ce6f8c0133108654e5a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000083__78cae9f7003304f6f3f4b8d9fc43ef03.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000084__073d88013492d33ae60cbc6fb892617a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000085__8abc8bd85b5f2aa53c4b074a4ed5795d.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_000086__2f8fc34ba1c94e9d926e63747a3e15cd.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000087__6aed3359cff422d4a40e930ebdaea6bf.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000088__ff9f534630f25125a22bd4f87a52367a.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_000089__54cc8454b876e409fb9eb33109b28692.wav,30.0,0.24,0.3,2.0
default_14_18mo_42_000090__ace12a9c098d8a9f1fd5a479f4546ac4.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000091__77eabcf1977ad67c44566d992f71043f.wav,30.0,0.24,,
default_14_18mo_42_000092__794cf38b3536835634f8006824f56bc0.wav,30.0,0.24,,
default_14_18mo_42_000093__d5cde0d155fff26b5a8296f8ac20c42f.wav,30.0,0.24,0.28,2.0
default_14_18mo_42_000094__f3392237c3980132fb418e4166a928c3.wav,30.0,0.24,0.28,3.0
default_14_18mo_42_000095__d6158352f72358cb19736bc17412c60a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000096__eec9a27dfcd10d1e3154c10df07e4d44.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000097__8f379600dfae1e82c89712bde9508e86.wav,30.0,0.24,0.29,2.0
default_14_18mo_42_000098__b04b099688a07d8ce2d278e6590222d9.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000099__4a5636f235d687d969c29ac94f849d38.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000100__bddd2edbe3030002691439d11eca1e7c.wav,30.0,0.24,0.29,4.0
default_14_18mo_42_000102__9d913f1626c176680d5671269bd515c7.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_000103__6cab48f2015da53e73ef34d2f20d88be.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000104__300268a1e0043230e9dc1d50419f86b3.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_000105__26498cc121cd43f11071e2b42dd1e273.wav,30.0,0.24,,
default_14_18mo_42_000106__cc1b6475dacae2c5d2b0e20a70c5d28a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000107__11108b35ece44f45d3698290255243f1.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_000108__667825eaeab021b748802e9151d5f780.wav,30.0,0.24,0.26,2.0
default_14_18mo_42_000109__1489c3659389b2e1fdbaf9f5dfed5917.wav,30.0,0.24,0.22,2.0
default_14_18mo_42_000110__4a8ebcd31b3119b4627923e7a693f15a.wav,30.0,0.24,0.18,2.0
default_14_18mo_42_000111__16bee2c9e53f9f7a0f4d3e4c3f63d920.wav,30.0,0.24,,
default_14_18mo_42_000112__61e4befb642aa673cb9dcccecea98160.wav,30.0,0.24,0.17,1.0
default_14_18mo_42_000113__30f66753526098bdad894f9b8f96ed26.wav,30.0,0.24,0.2,5.0
default_14_18mo_42_000114__0156705aa5ba055b7779525e8c7c102c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000115__23f951f35e7cab018f69e391f57656c8.wav,30.0,0.24,0.16,2.0
default_14_18mo_42_000116__09ed64bf42c5485d8f4bbd763ebba041.wav,30.0,0.24,,
default_14_18mo_42_000117__b4e201e033e2c13aaeb138fc53c1d613.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000118__b936667b527aed37cbc6a87a5ba8219e.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000119__6798ca12e5fde12cba1c97f1d28eb305.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000120__3059e021b9c5ea382b4cb7b89e51ea44.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000121__57e7950515dd1b09fcc4372257e6e9cb.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000122__bd5c7f90c836277bbe9a8a7726ee62a5.wav,30.0,0.24,0.17,1.0
default_14_18mo_42_000123__bcf105ad204a1f1c6870b2726d431988.wav,30.0,0.24,0.19,3.0
default_14_18mo_42_000124__709da3a623093c66c0a3187b5d01dca9.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000125__be915fe594ba64d14944325958a70b7d.wav,30.0,0.24,0.19,2.0
default_14_18mo_42_000126__53530a05fb2a24e72e94577912afdc6a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000127__e5b8e3cd7b1821b5108f4a9b356b3c7f.wav,30.0,0.24,0.16,1.0
default_14_18mo_42_000128__d8f12e532c85ed982b066641161a2ea8.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000129__560739add9b379eb2ee7bd6e421a8f86.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000130__2cc97575dddd08760290a31e2001c07c.wav,30.0,0.24,0.17,1.0
default_14_18mo_42_000131__f61c8d5b627324f93fbd12c3f87692e0.wav,30.0,0.24,0.18,2.0
default_14_18mo_42_000132__9a46da6b239e9954ee7065624801d6c8.wav,30.0,0.24,,
default_14_18mo_42_000133__6bbbbf74bf302a26c6d7d936b4646e90.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000134__4b59fb04c1b80e1dd115dfe64475f448.wav,30.0,0.24,,
default_14_18mo_42_000135__f9440363f49bc5119870f66891b89ca7.wav,30.0,0.24,0.15,1.0
default_14_18mo_42_000136__56aeae1b012c3735b0fa42fcbcfb1870.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000137__c4bcac187dfa9e06187575bf19fca29e.wav,30.0,0.24,,
default_14_18mo_42_000138__587163d6b649526db576c3000232a8b5.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000139__c6c03fd9b74d6d9d4a2e0fc1543cba79.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000140__9208d633e6a83a86463c61f250242505.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000141__ac5d69873126543465eaa6096a5f8786.wav,30.0,0.24,,
default_14_18mo_42_000142__01f9486a50995f388d361499857ec833.wav,30.0,0.24,0.17,3.0
default_14_18mo_42_000143__5180d194029c8f25cb5b751a84716382.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000144__495073e6f3ba6af05de6860b11d1f9c4.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000145__1f81c1dca515f59aeeb1611de317d05d.wav,30.0,0.24,0.2,2.0
default_14_18mo_42_000146__4b22c6d53d295dbdf21873eeccfad2f7.wav,30.0,0.24,0.17,2.0
default_14_18mo_42_000147__9b2c9de39e7883fc2c88ff5f754255e0.wav,30.0,0.24,0.19,3.0
default_14_18mo_42_000148__ffcda4dbdff8a0e04bb0921fc5d16a35.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000149__3af388fddb183ae3f3f012e6dacb3686.wav,30.0,0.24,,
default_14_18mo_42_000150__f93e7043f281435ee5931fa7c8a97a1d.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000151__0c349f71d781530dce7177fe76e7bca0.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000152__3c3323ad255c3063f4baa8ff4060f8ea.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000153__711b152e9315b8855c064c730d4f6939.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000154__f1ea31fd35add7b38d414d27b6b93745.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000155__1873cc1368f7f04754fd0352bb3726d2.wav,30.0,0.24,,
default_14_18mo_42_000156__e086be6bb164bd0647777d6162d47eb0.wav,30.0,0.24,0.17,2.0
default_14_18mo_42_000157__b191f6b49bb4d30d017e615ab52eaf8b.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000158__f26bf018cb3654d3ceee458e8b5f3647.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000159__fb5d90d2a1ef747434494eeefff3258b.wav,30.0,0.24,,
default_14_18mo_42_000160__03ff5c085fdea54f14fc2e3940fd4616.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000161__9a98974f2ef7080d508fab1e01562ed2.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000162__f28479fb5bf0a2da8230c62b1c225968.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000163__82b23414787470f1777233e1746e915e.wav,30.0,0.24,,
default_14_18mo_42_000164__d52013de61f4d64a348ff6db0551276e.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000165__950e00b9fa8eae1b0cdf56d9824a063e.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000166__a56dc8e9eac9f8cc38f912e2bc02162f.wav,30.0,0.24,,
default_14_18mo_42_000167__180ff32f168d9ffe1ed346b6d02f440f.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000169__ac27b3985615693ca1cef0e14aa59137.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000170__b1ccd0ec3382e4312d3e81f444514cbf.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000171__b39d6c0ec76be3243f5d82d08a2980ed.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000172__2e6aa7bc3ffb6d6e35575ca66fd33ae2.wav,30.0,0.24,0.19,4.0
default_14_18mo_42_000173__9046a3b603cb070aa298188112c70250.wav,30.0,0.24,,
default_14_18mo_42_000175__785a567af237c275e0fb3bf9f9805cb3.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000176__a041dff75d9d71cd4a882e83e13e99da.wav,30.0,0.24,,
default_14_18mo_42_000177__4aa72c373b5b8ee817e2888c3e75c9ba.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000178__f2fb1b6597b803b80da31e79331cafe3.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000179__c526e4f13b52ef3c0460216c1a97b3ff.wav,30.0,0.24,0.21,4.0
default_14_18mo_42_000180__13b385a0e40c7c06be4d075e92cec652.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000181__a17cbe99c01f0817ac8bf6921fcc0e1e.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_000182__90363887c0b733732397f29d80fbe92d.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000183__da67ac9e717053287640da8b487792ce.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000184__fe42fe0dcebf7c468e7415d97931f8d2.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_000185__bf77ce32bee2007294552e2507098974.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_000186__8fcd9d0a93a5e0ea56face81a7f1bd6c.wav,30.0,0.24,0.0,0.0
